article_id,article_version,icd10_covered_group,"paragraph",last_updated,"icd10_covered_ast"
52451,81,2,"<p>HCPCS codes <strong>J0178</strong> EYLEA&#174; (aflibercept), <strong>Q5147</strong>,Aflibercept, PAVBLU&#8482; (aflibercept-ayyh), <strong>Q5150 </strong>AHZANTIVE&#174;(aflibercept-mrbb), and <strong>Q5153 </strong>OPUVIZ&#8482;aflibercept-yszy&#160; should be reported with the ICD-10-CM codes- Group2 below.</p>
<p>HCPCS code <strong>Q5149</strong>-ENZEEVU&#8482;(aflibercept-abzv) is only indicated for the treatment of patients with Neovascular (Wet) Age-Related Macular Degeneration (AMD)*. Only the ICD-10-CM codes with an asterisk reflect the indication.</p>
<p>HCPCS code <strong>Q5155</strong>-YESAFILI&#8482;(aflibercept-jbvf) is indicated for the treatment of patients with Macular Edema following Retinal Vein Occlusion, Diabetic Macular Edema and Diabetic Retinopathy</p>",2026-01-16 17:33:11.150000000,"<p><strong>Q5149*</strong>-ENZEEVU&#8482;(aflibercept-abzv) is only indicated for the treatment of patients with Neovascular (Wet) Age-Related Macular Degeneration (AMD)</p>"
52451,81,3,"<p><span style=""line-height: 107%;""><span style=""line-height: 115%;"">HCPCS code <strong>J0179 </strong><span style=""line-height: 107%;""><span style=""line-height: 115%;"">Brolucizumab-dbll and <strong>Q5149</strong>-ENZEEVU&#8482;(aflibercept-abzv) </span></span>should be reported with the ICD-10-CM diagnosis codes- Group 3 below.&#160;</span></span><strong><span style=""line-height: 107%;""><span style=""line-height: 115%;""><br /><br /></span><br /><br /></span></strong></p>",2026-01-16 17:33:12.060000000,""
52451,81,4,"<p>HCPCS code <strong>J2777 </strong>-Faricimab-svoa (Vabysmo&#8482;) and <strong>J0177</strong> - EYLEA&#174;HD (aflibercept), should be reported with the ICD-10-CM diagnosis codes below-Group 4.</p>
<p><strong><br /><br /></strong></p>",2026-01-16 17:33:12.090000000,""
52451,81,5,"<p>HCPCS code <strong>J0177</strong> Aflibercept HD should be reported with the ICD-10-CM diagnosis codes- Group 5 below.</p>
<p>&#160;</p>",2026-01-16 17:33:12.340000000,""
52451,81,6,"<p>HCPCS code <strong>J2779</strong> SUSVIMO should be reported with the ICD-10-CM diagnosis codes-Group 6 below.</p>",2026-01-16 17:33:12.830000000,""
52453,48,1,"<p><b>J1950 [Injection, leuprolide acetate (for depot suspension), per 3.75 mg]</b><br /><br /></p>",2025-09-17 14:17:03.210000000,""
52453,48,2,"<p><b>J3315 (Injection, triptorelin pamoate, 3.75 mg)<br /><br />Primary ICD-10-CM codes: (these diagnoses can be billed as a single diagnosis or in conjunction with the secondary ICD-10-CM codes listed below)</b> <br /><br /></p>",2025-09-17 14:17:04.283000000,""
52453,48,3,"<p><b>The ICD-10-CM codes listed below are considered secondary codes. When these codes are reported for J3315, the claim must also include a diagnosis from the primary diagnosis list above.</b> <br /><br /></p>",2025-09-17 14:17:04.493000000,""
52453,48,4,"<p><b>J9202 (Goserelin acetate implant, per 3.6 mg)<br /><br />Primary ICD-10-CM codes: (these diagnoses can be billed as a single diagnosis or in conjunction with the secondary ICD-10-CM codes listed below)</b> <br /><br /></p>",2025-09-17 14:17:04.767000000,""
52453,48,5,"<p><b>The ICD-10-CM codes listed below are considered secondary codes. When these codes are reported for J9202, the claim must also include a diagnosis from the primary diagnosis list above.</b> <br /><br /></p>",2025-09-17 14:17:07.057000000,""
52453,48,6,"<p><strong>J9217 [Leuprolide acetate (for depot suspension), per 7.5 mg]<br /><br />Primary ICD-10-CM codes (these diagnoses can be billed as a single diagnosis or in conjunction with the secondary ICD-10-CM codes listed below)</strong> <br /><br /></p>",2025-09-17 14:17:07.103000000,""
52453,48,7,"<p><b>The ICD-10-CM codes listed below are considered secondary codes. When these codes are reported for J9217, the claim must also include a diagnosis from the primary diagnosis list above.</b> <br /><br /></p>",2025-09-17 14:17:07.320000000,""
52453,48,8,"<p><b>J9219 (Leuprolide acetate implant, 65 mg), surgical implant<br /><br />Primary ICD-10-CM codes (these diagnoses can be billed as a single diagnosis or in conjunction with the secondary ICD-10-CM codes listed below)</b></p>",2025-09-17 14:17:07.367000000,""
52453,48,9,"<p><b>The ICD-10-CM codes listed below are considered secondary codes. When these codes are reported for J9219, the claim must also include a diagnosis from the primary diagnosis list above.</b> <br /></p>",2025-09-17 14:17:07.387000000,""
52453,48,10,"<p><b>J9225 (Histrelin implant, 50 mg), surgical implant</b><br /><br />ICD-10-CM code E30.1 for children with disability who are covered under Medicare. <br /><br /><b>Primary ICD-10-CM codes (these diagnoses can be billed as a single diagnosis or in conjunction with the secondary ICD-10-CM codes listed below)</b> <br /><br /></p>",2025-09-17 14:17:07.433000000,""
52453,48,11,"<p><b>The ICD-10-CM codes listed below are considered secondary codes. When these codes are reported J9225, the claim must also include a diagnosis from the primary diagnosis list above.</b> <br /><br /></p>",2025-09-17 14:17:07.457000000,""
52453,48,12,"<p><strong>J3316 [Injection, triptorelin, extended-release, 3.75 mg]</strong></p>",2025-09-17 14:17:07.513000000,""
52453,48,13,"<p>Effective for dates of service on or after 01/01/2022, <strong>leuprolide mesylate (Camcevi&reg;)</strong> should be reported with HCPCS code J1952.</p>
<p>Effective for dates of service 5/26/2021 through 12/31/2021, <strong>leuprolide mesylate (Camcevi&reg;) </strong>should be reported with HCPCS code J3590.</p>",2025-09-17 14:17:07.530000000,""
52453,48,14,"<p>Effective for dates of service on or after 01/01/2023, l<strong>euprolide acetate for depot suspension (Lutrate)</strong> should be reported with HCPCS code J1954.</p>",2025-09-17 14:17:07.540000000,""
52457,63,1,"<p>The presence of an ICD-10 code listed in this section is not sufficient by itself to assure coverage. Refer to the LCD section on &ldquo;<strong>Coverage Indications, Limitations, and/or Medical Necessity</strong>&rdquo; for other coverage criteria and payment information.<br /><br /><strong>For HCPCS codes L4392, L4396 and L4397:</strong></p>",2025-03-25 17:40:40.500000000,""
52457,63,2,"<p><strong>For HCPCS code L4631:</strong></p>",2025-03-25 17:40:40.600000000,""
52458,36,1,"<p>The presence of an ICD-10 code listed in this section is not sufficient by itself to assure coverage. Refer to the LCD section on &ldquo;<strong>Coverage Indications, Limitations, and/or Medical Necessity</strong>&rdquo; for other coverage criteria and payment information.</p>
<p>&nbsp;</p>
<p><strong>For HCPCS Code E0617:</strong></p>",2025-08-27 17:26:45.237000000,""
52458,36,2,"<p><strong>For HCPCS codes K0606-K0609:</strong></p>",2025-08-27 17:26:45.447000000,""
52459,23,1,"",2022-04-07 21:36:30.187000000,""
52460,16,1,"",2022-04-07 21:37:19.483000000,""
52461,21,1,"",2022-04-07 21:38:51.477000000,""
52462,32,1,"",2025-09-11 13:46:37.763000000,""
52463,32,1,"",2025-09-11 13:48:26.490000000,""
52464,62,1,"<p>The presence of an ICD-10 code listed in this section is not sufficient by itself to assure coverage. Refer to the LCD section on &ldquo;<strong>Coverage Indications, Limitations, and/or Medical Necessity</strong>&rdquo; for other coverage criteria and payment information.</p>",2025-02-06 13:53:54.693000000,""
52465,70,1,"<p>The presence of an ICD-10 code listed in this section is not sufficient by itself to assure coverage. Refer to the LCD section on &#8220;<strong>Coverage</strong> <strong>Indications, Limitations, and/or Medical Necessity</strong>&#8221; for other coverage criteria and payment information.</p>
<p><span style=""line-height: 115%;""><strong>For HCPCS codes L1831 and L1836:</strong></span></p>",2025-12-04 17:54:13.330000000,""
52465,70,2,"<p><strong><span style=""line-height: 115%;"">For HCPCS Codes L1830, L1832, L1833, and L1834:</span></strong></p>",2025-12-04 17:54:13.493000000,""
52465,70,3,"<p><strong>For HCPCS Codes L1840:</strong></p>",2025-12-04 17:54:17.987000000,""
52465,70,4,"<p><strong>For HCPCS Codes L1830, L1832, L1833, L1834, L1843, L1844, L1845, L1846, L1851 and L1852:</strong></p>",2025-12-04 17:54:18.100000000,""
52465,70,5,"<p><strong>For HCPCS Codes L1850, L1860:</strong></p>",2025-12-04 17:54:32.320000000,""
52465,70,6,"<p><strong>For HCPCS Codes L1843, L1844, L1845, L1846, L1851 and L1852:</strong></p>",2025-12-04 17:54:32.427000000,""
52466,80,1,"<p>The presence of an ICD-10 code listed in this section is not sufficient by itself to assure coverage. Refer to the LCD section on &#8220;<strong>Coverage Indications, Limitations, and/or Medical Necessity</strong>&#8221; for other coverage criteria and payment information.<br /><br /><strong>For HCPCS codes A4619, E0565, E0572:</strong></p>",2025-12-11 16:29:53.727000000,""
52466,80,2,"<p><strong>For HCPCS codes A7015, A7525:</strong></p>",2025-12-11 16:29:57.207000000,""
52466,80,3,"<p><strong>For HCPCS codes A7003, A7004, E0570:</strong></p>",2025-12-11 16:30:07.313000000,""
52466,80,4,"<p><strong>For HCPCS codes A7006, J2545:</strong></p>",2025-12-11 16:30:16.927000000,""
52466,80,5,"<p><strong>For HCPCS codes A4217, A7007, A7010, A7012, A7017, A7018, E0585, E1372:</strong></p>",2025-12-11 16:30:19.870000000,""
52466,80,6,"<p><strong>For HCPCS code A4216:</strong></p>",2025-12-11 16:30:20.620000000,""
52466,80,7,"<p><strong>For HCPCS code J7608:</strong></p>",2025-12-11 16:30:25.560000000,""
52466,80,8,"<p><strong>For HCPCS codes J7605, J7606, J7611, J7612, J7613, J7614 J7620, J7626, J7631, J7644, J7669, J7677:</strong></p>",2025-12-11 16:30:30.257000000,""
52466,80,9,"<p><strong>For HCPCS code J7639:</strong></p>",2025-12-11 16:30:32.860000000,""
52466,80,10,"<p><strong>For HCPCS code J7682:</strong></p>",2025-12-11 16:30:32.950000000,""
52466,80,11,"<p><strong>For HCPCS codes A7016, E0574, J7686:</strong></p>",2025-12-11 16:30:33.113000000,""
52466,80,12,"<p><strong>For HCPCS code A7005:</strong></p>",2025-12-11 16:30:33.317000000,""
52466,80,13,"<p><strong>For HCPCS codes A7013, A7014:</strong></p>",2025-12-11 16:30:40.820000000,""
52466,80,14,"<p><strong>For HCPCS codes K0730, Q4074:</strong></p>",2025-12-11 16:30:48.297000000,""
52466,80,15,"<p><strong>For HCPCS code J7131:</strong></p>",2025-12-11 16:30:48.520000000,""
52466,80,16,"<p><strong>For HCPCS code J7601:</strong></p>",2025-12-11 16:30:48.790000000,""
52467,54,1,"<p><p style=""background: white; line-height: 14.4pt;"">The presence of an ICD-10 code listed in this section is not sufficient by itself to assure coverage. Refer to the LCD section on <strong>&ldquo;Coverage Indications, Limitations, and/or Medical Necessity&rdquo;</strong> for other coverage criteria and payment information.</p></p>",2024-05-08 15:56:44.033000000,""
52468,22,1,"<p><span style=""line-height: 115%;"">The presence of an ICD-10 code listed in this section is not sufficient by itself to assure coverage. Refer to the LCD section on &ldquo;<strong>Coverage Indications, Limitations, and/or Medical</strong> <strong>Necessity</strong>"" for other coverage criteria and payment information.</span></p>",2022-04-07 21:44:53.020000000,""
52469,28,1,"",2024-10-09 18:19:00.997000000,""
52470,18,1,"",2025-07-29 21:07:59.707000000,""
52474,40,1,"<p>The presence of an ICD-10 code listed in this section is not sufficient by itself to assure coverage. Refer to the Article Text field, Non-Medical Necessity Coverage and Payment Rules section for other coverage criteria and payment information <br /><br /></p>",2025-09-12 13:35:43.250000000,""
52476,27,1,"",2022-04-07 14:02:30,""
52477,16,1,"",2022-04-07 14:09:34.483000000,""
52478,26,1,"<p>The presence of an ICD-10 code listed in this section is not sufficient by itself to assure coverage. Refer to the section on ""<strong>Coverage Indications, Limitations and/or Medical Necessity</strong>"" for other coverage criteria and payment information.<br /> <span style=""line-height: 107%;""><br /> </span></p>",2025-10-03 15:02:26.187000000,""
52479,73,1,"<p>The presence of an ICD-10 code listed in this section is not sufficient by itself to assure coverage. Refer to the Non-Medical Necessity Coverage and Payment Rules section for other coverage criteria and payment information.<br /><br /><strong>For Busulfan:</strong></p>",2025-12-31 13:50:29.887000000,""
52479,73,2,"<p><strong>For Capecitabine: </strong></p>",2025-12-31 13:50:32.253000000,""
52479,73,3,"<p><strong>For Cyclophosphamide: </strong></p>",2025-12-31 13:50:32.823000000,""
52479,73,4,"<p><strong>For Etoposide: </strong></p>",2025-12-31 13:50:34.860000000,""
52479,73,5,"<p><strong>For Melphalan: </strong></p>",2025-12-31 13:50:36.590000000,""
52479,73,6,"<p><strong>For Methotrexate:</strong></p>",2025-12-31 13:50:37.370000000,""
52479,73,7,"<p><strong>For Temozolomide:</strong></p>",2025-12-31 13:50:39.190000000,""
52479,73,8,"<p><strong>For Topotecan:</strong></p>",2025-12-31 13:50:39.730000000,""
52480,90,1,"<p>The presence of an ICD-10 code listed in this section is not sufficient by itself to assure coverage. Refer to the Non-Medical Necessity Coverage and Payment Rules section for other coverage criteria and payment information.</p>",2025-12-31 14:02:24.100000000,""
52481,30,1,"<p>The presence of an ICD-10 code listed in this section is not sufficient by itself to assure coverage. Refer to the LCD section on &ldquo;<strong>Coverage Indications, Limitations, and/or Medical Necessity</strong>&rdquo; for other coverage criteria and payment information.<br /> <br /> For HCPCS code L3250:</p>",2025-03-27 12:56:19.110000000,""
52487,33,1,"<p>The presence of an ICD-10 code listed in this section is not sufficient by itself to assure coverage. Refer to the Non-Medical Necessity Coverage and Payment Rules section for other coverage criteria and payment information.</p>",2025-04-03 16:17:00.640000000,""
52489,24,1,"",2022-04-07 14:19:18.923000000,""
52490,27,1,"<p>The presence of an ICD-10 code listed in this section is not sufficient by itself to assure coverage. Refer to the LCD section on &ldquo;<strong>Coverage Indications, Limitations, and/or Medical Necessity</strong>&rdquo; for other coverage criteria and payment information.</p>",2022-04-07 14:19:58.823000000,""
52492,20,1,"The presence of an ICD-10 code listed in this section is not sufficient by itself to assure coverage. Refer to the Article Text field, Non-Medical Necessity Coverage and Payment Rules section for other coverage criteria and payment information.",2022-04-07 14:21:36.697000000,""
52494,63,1,"<p><span style=""line-height: 115%;"">The presence of an ICD-10 code listed in this section is not sufficient by itself to assure coverage. Refer to the LCD section on &ldquo;<strong>Coverage Indications, Limitations, and/or Medical Necessity</strong>&rdquo; for other coverage criteria and payment information.</span></p>
<p><em>&nbsp;</em></p>",2025-09-11 14:03:15.473000000,""
52495,18,1,"",2022-04-07 16:51:16.680000000,""
52496,59,1,"",2025-10-14 16:31:09.363000000,""
52497,35,1,"",2024-06-05 19:22:53.540000000,""
52498,61,1,"",2025-10-23 16:57:11.423000000,""
52499,23,1,"",2022-05-18 17:35:40.350000000,""
52500,44,1,"",2025-03-25 17:51:12.010000000,""
52501,47,1,"<p>The presence of an ICD-10 code listed in this section is not sufficient by itself to assure coverage. Refer to the Non-Medical Necessity Coverage and Payment Rules section for other coverage criteria and payment information.<br /><br /></p>",2024-11-26 12:52:36.097000000,""
52502,20,1,"",2022-04-07 16:49:20.220000000,""
52503,26,1,"",2025-10-23 17:00:08.397000000,""
52504,59,1,"<p>N/A</p>",2025-10-23 17:20:28.010000000,""
52505,77,1,"",2025-09-23 19:55:53.027000000,""
52507,151,1,"<p><p style=""line-height: normal;"">The presence of an ICD-10 code listed in this section is not sufficient by itself to assure coverage. Refer to the section on ""<strong>Coverage Indications, Limitations and/or Medical Necessity</strong>"" for other coverage criteria and payment information.<br /><br />For HCPCS codes E0784 and J1811, J1813 or J1817:</p></p>",2025-12-04 13:55:40.583000000,""
52507,151,2,"<p><p style=""line-height: normal;"">For HCPCS code J1457:</p></p>",2025-12-04 13:55:41.683000000,""
52507,151,3,"<p><p style=""line-height: normal;"">For primary immune deficiency disorders HCPCS codes J1551, <span style=""line-height: 107%;"">J1555, J1558, J1559, J1561, J1562, J1569 and J1575</span>:</p></p>",2025-12-04 13:55:41.693000000,""
52507,151,4,"<p><p style=""line-height: normal;"">For HCPCS code for J7340 and J7356:</p></p>",2025-12-04 13:55:41.760000000,""
52507,151,5,"<p><p style=""line-height: normal;"">For HCPCS code for J9039:</p></p>",2025-12-04 13:55:41.773000000,""
52507,151,6,"<p>For HCPCS codes J1559, J1575 for CIDP:</p>",2025-12-04 13:55:41.787000000,""
52508,39,1,"",2022-04-07 12:33:09.457000000,""
52509,61,1,"<p>The presence of an ICD-10 code listed in this section is not sufficient by itself to assure coverage. Refer to the Non-Medical Necessity Coverage and Payment Rules section for other coverage criteria and payment information.</p>",2025-05-15 19:51:54.943000000,""
52510,61,1,"<p><p style=""line-height: normal;"">The presence of an ICD-10 code listed in this section is not sufficient by itself to assure coverage. Refer to the section on &ldquo;<strong>Coverage Indications, Limitations, and/or Medical Necessity</strong>&rdquo; for other coverage criteria and payment information.<br /><br />For HCPCS Codes E0482, A7020:</p></p>",2025-09-12 13:51:39.010000000,""
52511,28,1,"",2022-04-07 12:40:02.110000000,""
52512,46,1,"<p>The presence of an ICD-10 code listed in this section is not sufficient by itself to assure coverage. Refer to the LCD section on ""<strong>Coverage Indications, Limitations, and/or Medical Necessity</strong>"" for other coverage criteria and payment information.</p>",2024-05-09 18:55:43.110000000,""
52513,43,1,"",2024-09-05 18:55:51.463000000,""
52514,61,1,"<p>N/A</p>",2024-05-09 18:59:28.420000000,""
52516,26,1,"",2023-09-20 13:41:37.443000000,""
52517,50,1,"",2025-10-03 14:40:04.780000000,""
52518,36,1,"",2023-05-11 16:30:31.920000000,""
