article_id,article_version,icd10_noncovered_group,"paragraph",last_updated
52510,61,1,"<p><span style=""line-height: 107%;"">All ICD-10 codes that are not specified in the previous section.</span></p>",2025-09-12 13:51:39.173000000
52511,28,1,"",2022-04-07 12:40:02.110000000
52512,46,1,"<p>All ICD-10 codes that are not specified in the preceding section.</p>",2024-05-09 18:55:43.130000000
52513,43,1,"",2024-09-05 18:55:51.473000000
52514,61,1,"<p>For all claims submitted with the N3 modifier.</p>",2024-05-09 18:59:28.427000000
52516,26,1,"",2023-09-20 13:41:37.447000000
52517,50,1,"",2025-10-03 14:40:04.790000000
52518,36,1,"",2023-05-11 16:30:31.927000000
52519,39,1,"<p><span style=""line-height: 107%;"">For A4605 and A4624 &ndash; All codes not listed above<br /> <br /> For A7002, A7047 and E0600 - G47.33<br /> <br /> For the remaining codes in this LCD - Not specified<br /> <br /> </span></p>",2024-05-09 18:57:25.660000000
52520,31,1,"<p><span style=""line-height: 107%;""><br /><br /></span></p>",2022-11-11 14:43:17.453000000
52521,51,1,"<p>For the specific HCPCS codes indicated above, all ICD-10 codes that are not specified in the preceding section.<strong><span style=""line-height: 107%;""><br /> <br /> </span></strong></p>",2025-11-07 15:43:07.070000000
52527,89,1,"",2025-12-26 14:14:26.127000000
52535,13,1,"",2025-07-31 18:29:51.120000000
52537,11,1,"",2023-12-29 17:39:23.183000000
52571,139,1,"",2026-01-23 13:38:38.220000000
52711,22,1,"",2022-04-07 21:46:31.153000000
52712,25,1,"Not Applicable",2022-04-07 21:47:16.270000000
52713,18,1,"",2022-04-07 14:00:02.520000000
52725,36,1,"<p>All the ICD-10-CM codes listed below <strong>DO NOT</strong> support medical necessity and will deny when billing 64450 <strong>WITH</strong> 76881, 76882, 76942, 76999, 97032, 97139, G0282 and/or G0283 (above Group 2 CPT codes) for peripheral nerve blocks (including G57.91, G57.92, G58.7, G58.8, G58.9 G59, M54.10 and M79.2). Refer to the Coverage and Limitations section above.</p>
<p>All other ICD-10-CM codes not listed in this policy under ""ICD-10 Codes that Support Medical Necessity"" above.</p>",2025-09-25 15:59:31.783000000
52800,94,1,"",2026-01-05 19:17:44.043000000
52825,11,1,"",2024-01-16 14:52:38.157000000
52830,7,1,"",2019-11-08 18:57:38.753000000
52837,20,1,"",2024-12-19 15:52:55.200000000
52840,2,1,"",2014-04-01 20:26:59
52841,3,1,"",2016-09-22 21:24:08.913000000
52842,17,1,"",2023-11-17 21:52:18.337000000
52845,7,1,"",2023-10-06 15:24:41.653000000
52848,41,1,"",2025-09-17 15:57:58.130000000
52849,35,1,"",2023-12-21 15:24:40.860000000
52850,55,1,"",2025-12-22 18:44:57.067000000
52855,30,1,"",2024-01-04 13:46:54.103000000
52863,58,1,"",2025-12-22 15:48:34.380000000
52866,34,1,"",2024-12-19 16:04:28.460000000
52868,45,1,"",2024-12-19 12:58:08.187000000
52870,37,1,"<p>Use of any ICD-10-CM code not listed in the ""ICD-10-CM Codes that Support Medical Necessity"" section of this article will be denied.</p>
<p>In addition, the ICD-10-CM codes listed below are specifically included as not supporting medical necessity for emphasis, and to avoid any provider errors.</p>
<p>CPT codes 36465, 36466, 36470, 36471, 36473, 36474, 36475, 36476, 36478, 36479, 36482, 36483, 37700, 37718, 37722, 37735, 37760, 37761, 37765, 37766, 37780 and 37799 (when used to report ""Trivex Procedure""), submitted for any of the following ICD-10-CM codes will be denied as not medically necessary:</p>",2024-12-19 13:27:21.610000000
52917,4,1,"",2023-11-22 16:25:23.597000000
52918,5,1,"",2023-11-22 18:30:28.610000000
52986,242,1,"<p>All those not listed under the &ldquo;ICD-10-CM Codes that Support Medical Necessity&rdquo; section of this article.</p>",2025-04-25 17:28:18.147000000
52992,30,1,"<p>All ICD-10 codes not listed under the ""ICD-10 Codes that Support Medical Necessity"" section of this article.</p>",2025-04-11 13:01:11.570000000
52993,54,1,"<p>All those not listed under the ""ICD-10-CM Codes that Support Medical Necessity"" section of this article.</p>",2024-10-18 13:42:55.753000000
52996,31,1,"<p>All those not listed under the &ldquo;ICD-10 Codes that Support Medical Necessity&rdquo; section of this article.</p>",2025-09-26 13:52:29.940000000
52998,50,1,"<p>All those not listed under the ""ICD-10-CM Codes that Support Medical Necessity"" section of this article.</p>",2026-01-23 14:04:07.337000000
53001,45,1,"",2026-01-23 14:04:57.350000000
53006,14,1,"",2019-12-12 15:59:00.587000000
53008,56,1,"",2025-09-23 18:03:56.830000000
53018,13,1,"",2023-11-20 14:38:49.327000000
53019,14,1,"",2025-07-15 16:38:48.047000000
53020,2,1,"",2014-04-01 20:36:45
53021,132,1,"",2025-12-22 14:27:10.100000000
53024,22,1,"",2024-03-13 14:59:57.883000000
53026,65,1,"<p>N/A</p>",2025-12-22 16:12:03.690000000
53032,138,1,"<p>N/A</p>",2025-12-23 17:51:01.403000000
53033,132,1,"",2025-12-23 18:08:21.690000000
53043,14,1,"",2023-01-10 20:02:43.077000000
53046,21,1,"",2023-12-20 12:47:29.093000000
53047,17,1,"",2021-12-29 16:33:30.127000000
53052,48,1,"<p><span style=""line-height: 115%;"">Any ICD-10 codes not listed in the <strong><em>ICD-10-CM Codes that Support Medical Necessity</em></strong> section of this article may be subject to medical review.</span></p>",2025-08-19 18:16:46.930000000
53053,14,1,"",2022-05-12 13:18:15.233000000
53055,13,1,"",2019-04-04 21:20:46.717000000
53056,15,1,"",2024-11-27 17:20:58.903000000
53057,63,1,"",2025-08-14 15:04:13.357000000
53058,61,1,"",2025-08-14 17:50:12.940000000
53060,48,1,"",2025-08-14 12:47:20.910000000
53064,83,1,"",2025-08-22 18:48:10.500000000
53065,72,1,"",2025-08-25 12:43:45.517000000
53066,95,1,"",2026-01-20 13:10:21.810000000
53084,28,1,"",2023-11-14 16:35:25.500000000
53095,28,1,"",2024-09-05 14:24:29.023000000
53101,46,1,"",2024-08-29 13:10:24.490000000
53104,32,1,"",2022-01-18 13:18:14.220000000
53105,22,1,"",2019-10-16 21:55:24.190000000
53106,16,1,"",2017-04-20 13:39:36.070000000
53127,187,1,"",2026-01-23 13:37:24.727000000
53134,84,1,"<p>All those not listed under the &ldquo;ICD-10 Codes that Support Medical Necessity&rdquo; section of this article.</p>",2023-11-22 12:43:03.740000000
53296,22,1,"",2025-10-06 12:11:07.323000000
53304,16,1,"",2023-11-14 16:25:55.620000000
53322,16,1,"",2023-11-16 19:22:42.950000000
53352,13,1,"",2023-11-14 16:30:14.247000000
53356,14,1,"<p><b>ICD-10-CM code Z30.2, sterilization should be noted in Item 24E of the CMS-1500 claim form or the electronic equivalent:</b></p>",2023-11-16 19:28:44.467000000
53359,35,1,"",2024-11-08 17:02:36.923000000
53387,33,1,"",2025-09-17 19:24:15.420000000
53399,13,1,"",2019-11-07 15:59:39.850000000
53423,16,1,"",2019-09-30 14:29:56.333000000
53435,11,1,"",2023-01-11 18:34:32.490000000
53441,10,1,"",2019-09-26 17:30:03.907000000
53444,14,1,"",2023-01-10 20:56:52.950000000
53446,6,1,"",2017-10-10 15:38:51.823000000
53472,18,1,"",2019-12-03 21:10:27.240000000
53480,14,1,"",2019-10-15 14:36:38.483000000
53482,13,1,"",2019-10-24 00:19:11.030000000
53484,16,1,"",2019-10-15 14:52:43.670000000
53488,11,1,"",2019-10-02 12:44:20.717000000
53495,11,1,"",2024-11-12 14:59:57.407000000
53497,15,1,"",2023-01-11 13:47:04.490000000
53531,22,1,"",2024-09-09 13:22:00.833000000
53538,15,1,"",2019-10-15 15:07:32.130000000
53558,29,1,"",2022-01-18 12:58:03.970000000
53605,21,1,"",2021-07-08 12:10:04.620000000
53702,19,1,"",2019-11-11 14:30:33.477000000
53708,16,1,"",2019-10-30 14:47:41.283000000
53773,20,1,"",2024-01-12 15:56:27.973000000
53775,34,1,"",2025-01-07 15:40:50.567000000
53778,14,1,"",2019-09-25 21:21:37.720000000
53781,17,1,"",2024-01-11 16:38:49.767000000
53784,15,1,"<p>Z00.6</p>",2020-08-12 19:50:20.300000000
53793,35,1,"<p>All other diagnosis codes will be denied as non-covered.</p>",2025-12-08 14:50:57.767000000
53883,26,1,"<p>All those not listed under the ""ICD-10-CM Codes that Support Medical Necessity"" section of this article.</p>",2024-03-01 14:33:37.490000000
53893,11,1,"",2025-09-11 23:12:00.220000000
53916,12,1,"",2023-11-08 18:55:41.143000000
53931,6,1,"",2024-11-07 19:04:06.820000000
53972,10,1,"",2023-11-08 19:00:24.153000000
53986,18,1,"",2024-12-04 18:18:01.270000000
53988,20,1,"",2024-12-04 17:54:48.143000000
54018,33,1,"",2023-07-21 17:08:27.563000000
54021,26,1,"",2024-05-24 15:25:57.870000000
54061,23,1,"",2025-12-22 15:12:01.593000000
54095,68,1,"<p><br />All those not listed under the ""ICD-10-CM Codes that Support Medical Necessity"" section of this article.</p>",2025-09-26 17:04:56.270000000
54111,50,1,"<p>All those not listed under the &ldquo;ICD-10-CM Codes that Support Medical Necessity&rdquo; section of this article.</p>",2025-09-26 17:14:53.833000000
54117,88,1,"<p>N/A</p>",2026-01-23 13:39:50.970000000
54188,33,1,"",2024-08-28 20:13:46.583000000
54191,27,1,"",2023-11-08 18:44:30.033000000
54192,22,1,"",2024-05-29 21:01:58.990000000
54194,23,1,"",2023-11-14 18:27:57.610000000
54195,22,1,"",2023-11-15 12:11:05.683000000
54196,20,1,"",2023-11-15 12:12:26.507000000
54257,14,1,"",2023-11-08 16:53:27.493000000
54269,14,1,"",2023-11-14 18:04:43.300000000
54270,16,1,"",2023-11-14 18:06:31.850000000
54283,15,1,"",2023-11-15 12:26:18.483000000
54295,27,1,"",2023-11-10 16:31:05.123000000
54300,16,1,"",2023-11-07 15:46:52.137000000
54327,7,1,"",2023-11-07 15:11:38.760000000
54338,55,1,"",2025-08-29 17:41:30.183000000
54386,37,1,"<p>N/A</p>",2024-08-29 12:08:32.903000000
54388,33,1,"<p>N/A</p>",2024-08-29 12:09:34.900000000
54418,27,1,"<p>N/A</p>",2023-11-22 15:31:11.223000000
54420,26,1,"<p>N/A</p>",2023-11-22 15:31:33.293000000
54422,20,1,"<p>N/A</p>",2024-05-24 11:58:39.247000000
54424,19,1,"<p>N/A</p>",2024-05-24 11:59:25.340000000
54445,26,1,"<p>N/A</p>",2023-11-22 16:55:45.023000000
54447,25,1,"<p>N/A</p>",2025-09-18 20:33:55.820000000
54472,30,1,"",2023-02-20 19:12:21.977000000
54480,15,1,"",2025-09-22 13:50:29.253000000
54482,15,1,"",2025-09-22 13:52:42.587000000
54484,12,1,"",2025-09-18 20:04:08.457000000
54486,12,1,"",2025-09-18 20:06:42.470000000
54498,23,1,"<p>N/A</p>",2023-11-22 15:32:47.730000000
54500,23,1,"<p>N/A</p>",2025-09-19 14:11:02.670000000
54516,45,1,"",2025-03-26 18:42:27.150000000
54543,21,1,"",2025-09-22 11:56:22.917000000
54548,35,1,"",2025-09-17 14:15:48.317000000
54555,18,1,"",2024-01-12 16:25:49.543000000
54559,12,1,"",2021-08-30 15:52:16.347000000
54563,54,1,"",2024-11-25 13:05:37.650000000
54602,24,1,"<p>Claims for removal of benign skin lesions performed merely for cosmetic reasons should be submitted with ICD-10-CM code Z41.1</p>",2025-12-22 16:31:51.863000000
54610,3,1,"",2023-11-07 12:31:09.630000000
54611,5,1,"",2023-11-07 12:27:57.403000000
54612,4,1,"",2023-11-15 17:57:45.813000000
54613,3,1,"",2023-11-07 12:27:00.817000000
54635,31,1,"",2023-11-08 19:11:27.410000000
54641,13,1,"",2023-11-17 12:43:00.363000000
54643,13,1,"",2023-11-17 12:44:31.620000000
54660,13,1,"",2023-11-17 12:42:28.020000000
54662,13,1,"",2023-11-17 12:44:01.823000000
54682,34,1,"",2024-01-25 15:14:26.240000000
54685,17,1,"",2023-11-08 15:22:47.920000000
54686,22,1,"",2024-09-14 23:02:26.877000000
54688,23,1,"",2023-11-08 18:48:22.270000000
54689,32,1,"",2023-11-07 18:21:11.067000000
54750,13,1,"",2019-10-28 17:04:55.183000000
54767,66,1,"",2025-08-25 15:18:51.293000000
54768,38,1,"",2025-08-14 14:11:36.620000000
54769,27,1,"",2022-01-18 13:00:18.327000000
54795,42,1,"<p>N/A</p>",2024-03-15 10:14:22.863000000
54799,62,1,"",2025-11-24 13:23:32.167000000
54812,7,1,"",2017-10-30 13:34:24.910000000
54830,9,1,"",2024-04-05 20:59:32.533000000
54831,28,1,"",2023-08-24 15:36:23.580000000
54832,14,1,"",2024-03-28 13:08:54.867000000
54880,10,1,"",2025-06-05 17:08:18.780000000
54901,27,1,"",2024-03-15 17:01:26.080000000
54909,24,1,"",2023-09-22 19:02:46.937000000
54919,22,1,"",2025-06-23 20:12:18.447000000
54923,45,1,"<p>Those not listed.</p>",2026-01-22 14:31:43.333000000
54926,25,1,"<p>All those not listed under the &ldquo;ICD-10-CM Codes that Support Medical Necessity&rdquo; section of this article.</p>",2025-05-09 14:50:07.657000000
54929,40,1,"",2025-09-18 16:52:51.317000000
54953,68,1,"<p>N/A</p>",2026-01-08 14:50:00.710000000
54954,28,1,"<p>All those not listed under the ""ICD-10 Codes that Support Medical Necessity "" section of this article.</p>",2023-01-20 14:21:01.943000000
54958,28,1,"<p>N/A</p>",2025-12-24 18:28:57.350000000
54961,20,1,"",2025-03-18 17:18:10.960000000
54969,52,1,"<p><span style=""color: #000000; text-transform: none; text-indent: 0px; letter-spacing: normal; font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 14px; font-style: normal; font-weight: 400; word-spacing: 0px; float: none; display: inline !important; white-space: normal; orphans: 2; widows: 2; background-color: #ffffff; -webkit-text-stroke-width: 0px; font-variant-ligatures: normal; font-variant-caps: normal; text-decoration-style: initial; text-decoration-color: initial;"">All diagnoses not listed in the ""ICD-10 Codes that Support Medical Necessity.""</span></p>",2025-09-22 11:54:20.780000000
54975,16,1,"<p>N/A</p>",2023-11-22 15:12:08.720000000
54976,15,1,"<p>N/A</p>",2023-11-22 15:12:32.287000000
54982,28,1,"<p>All those not listed under the &ldquo;ICD-10-CM Codes that Support Medical Necessity&rdquo; section of this article.</p>",2025-05-09 14:48:53.230000000
55001,67,1,"",2025-12-22 16:47:57.987000000
55028,45,1,"<p>N/A</p>",2025-10-08 13:33:18.230000000
55044,18,1,"",2023-11-22 19:02:01.367000000
55056,14,1,"",2023-11-17 12:43:34.080000000
55058,7,1,"",2023-11-16 19:29:34.070000000
55061,11,1,"",2023-11-08 19:07:21.953000000
55069,26,1,"",2025-08-14 17:49:02.430000000
55115,14,1,"<p>N/A</p>",2023-11-22 15:20:48.827000000
55116,14,1,"<p>N/A</p>",2023-11-22 15:21:21.860000000
55136,19,1,"<p>N/A</p>",2024-01-24 13:36:42.900000000
55146,15,1,"",2025-10-22 17:38:14.020000000
55147,30,1,"<p>N/A</p>",2024-09-17 12:22:14.090000000
55161,23,1,"",2023-08-23 17:01:05.497000000
55162,18,1,"",2024-07-24 17:41:33.400000000
55169,15,1,"<p>N/A</p>",2025-10-22 15:38:30.750000000
55175,25,1,"",2025-12-23 19:00:35.980000000
55193,14,1,"<p>N/A</p>",2024-06-18 13:35:43.013000000
55197,33,1,"<p>NA</p>",2024-03-20 14:46:01.210000000
55200,37,1,"<p>N/A</p>",2025-12-23 17:38:53.760000000
55206,18,1,"<p>N/A</p>",2023-11-20 17:27:56.730000000
55210,15,1,"<p>NA</p>",2026-01-22 14:36:51.683000000
55215,9,1,"",2023-11-16 19:23:06.710000000
55224,35,1,"<p>N/A</p>",2025-09-18 16:49:45.203000000
55227,19,1,"",2025-08-14 17:32:58.570000000
55229,46,1,"<p>All those not listed under the &ldquo;ICD-10 Codes that Support Medical Necessity&rdquo; section of this article.</p>",2026-01-23 14:05:44.033000000
55230,18,1,"",2025-12-23 17:56:22.903000000
55231,17,1,"",2026-01-22 14:47:58.770000000
55233,21,1,"",2024-09-17 14:09:15.760000000
55235,15,1,"<p>N/A</p>",2023-07-19 14:22:47.767000000
55239,61,1,"<p>N/A</p>",2026-01-02 19:04:28.697000000
55264,13,1,"<p>N/A</p>",2023-11-22 16:47:04.117000000
55265,12,1,"<p>N/A</p>",2023-11-22 16:47:25.303000000
55294,33,1,"<p>N/A</p>",2025-08-29 14:09:45.277000000
55295,29,1,"<p>N/A</p>",2025-08-29 14:08:57.413000000
55310,12,1,"",2025-08-28 12:06:50.777000000
55315,17,1,"",2025-09-26 22:10:37.763000000
55326,40,1,"",2023-11-16 19:26:40.460000000
55336,49,1,"",2025-08-21 12:24:21.747000000
55354,35,1,"<p><span style=""line-height: 115%;"">All those not listed under the <strong><em>ICD-10-CM Codes that Support Medical Necessity </em></strong>section of this article. </span></p>",2023-06-05 13:31:53.540000000
55426,123,1,"",2025-05-22 20:47:43.093000000
55478,12,1,"",2023-11-08 19:17:03.293000000
55503,5,1,"",2023-11-22 16:23:07.633000000
55505,5,1,"",2023-11-22 16:22:29.043000000
55530,35,1,"",2025-06-20 20:58:13.197000000
55584,19,1,"",2023-11-08 19:11:50.350000000
55595,16,1,"<p>N/A</p>",2024-09-09 15:11:52.270000000
55596,12,1,"<p>N/A</p>",2023-11-22 18:55:46.790000000
55597,23,1,"<p>N/A</p>",2023-11-22 18:26:57.367000000
55600,16,1,"<p>N/A</p>",2024-09-09 15:12:58.530000000
55601,12,1,"<p>N/A</p>",2023-11-22 18:56:05.350000000
55602,23,1,"<p>N/A</p>",2023-11-22 18:27:18.457000000
55621,15,1,"<p>NA</p>",2024-04-16 14:17:44.720000000
55623,15,1,"<p>N/A</p>",2023-11-22 18:53:25.250000000
55624,33,1,"<p>N/A</p>",2024-03-15 16:08:50.813000000
55628,13,1,"<p>N/A</p>",2023-11-22 18:53:57.553000000
55639,51,1,"<p>N/A</p>",2025-11-18 20:23:25.030000000
55672,25,1,"<p>All those not listed under the &ldquo;ICD-10 Codes that are Covered&rdquo; section of this article.</p>",2023-11-20 14:31:32.253000000
55675,25,1,"<p>All those not listed under the ""ICD-10 Codes that are Covered"" section of this article.</p>",2023-11-16 19:14:19.857000000
55695,21,1,"",2023-05-23 12:49:05.617000000
55703,25,1,"<p>All those not listed under the &ldquo;ICD-10 Codes that Are Covered&rdquo; section of this policy.</p>",2024-06-18 14:15:31.133000000
55709,11,1,"",2024-04-16 15:08:02.707000000
55710,16,1,"",2025-12-23 18:12:33.203000000
55711,23,1,"<p>N/A</p>",2025-09-18 19:52:22.370000000
55712,21,1,"<p>N/A</p>",2025-09-18 19:56:50.107000000
55715,12,1,"",2025-01-31 19:32:23.030000000
55716,11,1,"",2023-11-08 15:14:20.597000000
55717,26,1,"",2025-08-18 16:43:49.853000000
55719,15,1,"",2023-11-16 19:28:20.053000000
55723,44,1,"<p>All those not listed under the ""ICD-10 Codes that are Covered"" section of this article.</p>",2023-01-20 12:02:28.327000000
55738,17,1,"<p>NA</p>",2023-06-22 12:58:52.280000000
55754,22,1,"",2023-11-14 16:22:56.433000000
55757,5,1,"",2017-10-13 17:25:42.050000000
55769,14,1,"",2023-11-22 16:09:29.327000000
55774,13,1,"",2025-06-20 18:55:24.610000000
55818,26,1,"",2026-01-23 14:13:19.530000000
55835,15,1,"",2025-02-21 19:20:58.067000000
55909,46,1,"<p>N/A</p>",2025-11-18 19:04:13.420000000
55913,9,1,"",2024-12-17 15:26:40.677000000
55937,42,1,"<p>All those not listed under the &ldquo;ICD-10 Codes that Support Medical Necessity&rdquo; section of this article.</p>",2025-09-26 14:12:03.677000000
55951,17,1,"<p>N/A</p>",2025-08-22 17:41:11.233000000
55958,6,1,"",2024-02-28 15:20:28.150000000
56006,19,1,"",2023-12-21 20:09:49.673000000
56008,11,1,"",2024-11-13 18:17:30.627000000
56025,16,1,"",2023-11-08 18:56:50.887000000
56027,14,1,"",2025-12-23 00:21:15.377000000
56034,39,1,"<p>All the ICD-10-CM codes listed below <strong>DO NOT</strong> support medical necessity and will deny when billing 64450 <strong>WITH</strong> 76881, 76882, 76942, 76999, 97032, 97139, G0282 and/or G0283 (above Group 2 CPT codes) for peripheral nerve blocks (including G57.91, G57.92, G58.7, G58.8, G58.9 G59, M54.10 and M79.2). Refer to the Coverage and Limitations section above.</p>
<p>All other ICD-10-CM codes not listed in this policy under ""ICD-10 Codes that Support Medical Necessity"" above.</p>",2025-09-25 15:58:52.893000000
56050,14,1,"",2025-01-31 17:18:53.777000000
56065,23,1,"",2022-11-15 01:52:20.060000000
56071,23,1,"<p>N/A</p>",2024-12-23 12:02:30.870000000
56072,13,1,"",2024-01-23 18:41:24.407000000
56083,13,1,"",2025-07-29 21:06:32.250000000
56103,13,1,"<p>N/A</p>",2024-01-23 13:23:59.687000000
56104,15,1,"<p>N/A</p>",2024-01-23 13:24:38.453000000
56106,14,1,"",2024-01-30 20:17:52.843000000
56112,6,1,"",2023-11-14 16:42:55.737000000
56141,39,1,"",2020-11-12 22:00:17.003000000
56152,35,1,"",2025-09-18 16:59:29.387000000
56157,17,1,"<p>N/A</p>",2026-01-20 20:41:32.570000000
56159,22,1,"<p>All those not listed under the &ldquo;ICD-10 Codes that are Covered&rdquo; section of this article.</p>",2025-02-21 19:47:22.547000000
56175,14,1,"",2025-02-21 19:24:38.080000000
56178,20,1,"",2023-11-20 14:25:43.647000000
56198,10,1,"",2023-11-18 23:18:42.343000000
56199,122,1,"<p><p style=""line-height: normal;"">The following ICD-10-CM codes are considered non-covered for all molecular pathology procedures:</p></p>",2025-09-15 19:25:12.467000000
56232,34,1,"<p>Codes not listed above</p>",2025-09-17 16:31:14.300000000
56248,11,1,"",2019-09-11 17:34:42.867000000
56273,28,1,"<p>N/A</p>",2025-08-22 18:58:45.803000000
56287,18,1,"<p>All those not listed under the &ldquo;ICD-10-CM Codes that Support Medical Necessity&rdquo; section of this article.</p>",2024-05-31 13:37:46.963000000
56289,13,1,"",2025-09-15 17:14:25.377000000
56326,27,1,"",2023-02-22 21:51:03.380000000
56333,11,1,"<p>N/A</p>",2023-07-19 14:40:42.807000000
56335,14,1,"<p>N/A</p>",2025-04-25 18:44:23.633000000
56340,31,1,"",2025-06-20 18:56:45.390000000
56343,13,1,"",2025-04-09 16:57:48.780000000
56346,22,1,"",2025-04-29 15:21:51.727000000
56380,56,1,"",2025-08-26 12:15:01.260000000
56384,7,1,"<p>All other ICD-10-CM codes not listed under &ldquo;ICD-10-CM Codes that Support Medical Necessity&rdquo; will be denied as not medically necessary.</p>",2019-10-08 18:32:35.060000000
