article_id,article_version,hcpc_code_group,"paragraph",last_updated
52712,25,1,"",2022-04-07 21:47:16.250000000
52713,18,1,"",2022-04-07 14:00:02.457000000
52725,36,1,"<p><span style=""line-height: 107%;"">Effective 01/01/2020, 64999 is to be used to report injections of anesthetic and/or steroids for the facial and phrenic nerves and cervical plexus. This code replaces the deleted codes 64402, 64410 and 64413.</span></p>",2025-09-25 15:59:27.807000000
52725,36,2,"<p>CPT code 64450 is <strong>NOT</strong> medically necessary when billed with <strong>any other</strong> CPT code in the GROUP 2 Codes listed <strong>PLUS</strong> any one of the GROUP 1 diagnosis listed in the ICD-10 Codes that DO NOT Support Medical Necessity section below.</p>",2025-09-25 15:59:27.890000000
52825,11,1,"",2024-01-16 14:52:38.120000000
52830,7,1,"Not applicable",2019-11-08 18:57:38.730000000
52837,20,1,"<p>The CPT codes in Group 1 are generally considered reconstructive in nature.</p>",2024-12-19 15:52:54.540000000
52837,20,2,"<p>The CPT codes in Group 2 may potentially be considered as cosmetic and thus not covered by Medicare. Documentation to support functional impairment, visual or otherwise, must be present. (Please see the ""Indications and Limitations"" and ""Documentation Requirements"" sections.)</p>",2024-12-19 15:52:54.653000000
52840,2,1,"Procedure codes may be subject to National Correct Coding Initiative (NCCI) edits or OPPS packaging edits. Refer to NCCI and OPPS requirements prior to billing Medicare.<br><br>For services requiring a referring/ordering physician, the name and NPI of the referring/ordering physician must be reported on the claim.<br><br><b>Part B Services</b><br>Providers should enter clinical trial and non-clinical trial services on separate lines when both types of services are submitted on the same claim form.<br><br>Items and services provided free of charge by research sponsors should not be billed to Medicare. If these items are required for payment of another payable service, providers should submit the items as non-covered (use modifiers FB and GX or GY). For OPPS claims, a token charge must be entered on the line for a no-cost item.<br><br>Routine costs of a clinical trial should be submitted to the Part B MAC as follows:<ul type=disc> <li> Report modifier ""Q1"" with each service. ICD-10-CM code Z00.6 (examination of participant in clinical trial) should be reported as the secondary diagnosis.<li>It is mandatory to report a clinical trial number on claims for items and services provided in clinical trials that are qualified for coverage. However, for physicians, providers, and suppliers who do not have the capacity at this time to report the clinical trials identifier number associated with trial-related claims, CMS is providing an option to submit a generic number in place of the actual National Clinical Trials (NCT) number. Beginning January 1, 2014, and continuing no later than through December 31, 2014, those above-mentioned physicians, providers, and suppliers may instead report an 8-digit, generic number 99999999, following the instructions in transmittal #R2805CP.<br><br>",2014-04-02 15:09:53.480000000
52841,3,1,"",2016-09-22 21:24:08.910000000
52842,17,1,"",2023-11-17 21:52:18.320000000
52845,7,1,"",2023-10-06 15:24:41.640000000
52848,41,1,"",2025-09-17 15:57:54.780000000
52848,41,2,"",2025-09-17 15:57:54.827000000
52849,35,1,"<p><strong>CPT code 77048 and 77049 should not be used by OPPS providers.</strong><br /><br />HCPCS codes C8903 through C8908 are to be billed to the Part A MAC and not the Part B MAC.<br /><br /></p>",2023-12-21 15:24:40.577000000
52850,55,1,"<p><b>The following CPT/HCPCS codes describe cardiac catheterization.</b></p>",2025-12-22 18:44:54.167000000
52850,55,2,"<p><b>The following CPT/HCPCS codes describe SELECTIVE extra-cardiac angiography.</b></p>",2025-12-22 18:44:54.243000000
52850,55,3,"<p><strong>The following CPT/HCPCS code describes NON-SELECTIVE extra-cardiac angiography.</strong></p>",2025-12-22 18:44:54.290000000
52855,30,1,"",2024-01-04 13:46:54.077000000
52863,58,1,"<p><strong>INJECTION OF TENDON SHEATHS, LIGAMENTS, GANGLION CYSTS, CARPAL AND TARSAL TUNNELS </strong></p>",2025-12-22 15:48:33.640000000
52863,58,2,"<p><p style=""line-height: normal;""><strong>Dry Needling</strong></p>
<p style=""line-height: normal;"">For dates of service on or after 01/01/2020, dry needling should be reported using CPT codes 20560 or 20561. Effective January 21, 2020, Medicare will cover all types of acupuncture including dry needling for chronic low back pain within specific guidelines in accordance with NCD 30.3.3.</p></p>",2025-12-22 15:48:33.690000000
52866,34,1,"<p>N/A</p>",2024-12-19 16:04:25.777000000
52868,45,1,"",2024-12-19 12:58:04.290000000
52870,37,1,"<p>CPT code 37799 should be used to report ""Trivex Procedure"".</p>
<p>&nbsp;</p>",2024-12-19 13:27:21.013000000
52917,4,1,"",2023-11-22 16:25:23.587000000
52918,5,1,"",2023-11-22 18:30:28.603000000
52986,242,1,"<p><strong>Note:</strong> Providers are reminded to refer to the long descriptors of the CPT codes in their CPT book.</p>
<p><strong>Note</strong>: Please see the indications and limitations section of the LCD for details regarding CPT/HCPCS codes: 81292, 81293, 81294, 81321, 81322, 81323, 81437, 81479, 81520, 81525, 81540, and 81546.</p>
<p>Please see NCD 90.2, Next Generation Sequencing (NGS) for Patients with Advanced Cancer.</p>",2025-04-25 17:28:16.790000000
52992,30,1,"<p><strong><br />Note:</strong> Providers are reminded to refer to the long descriptors of the CPT codes in their CPT book.</p>",2025-04-11 13:01:08.820000000
52992,30,2,"",2025-04-11 13:01:08.953000000
52993,54,1,"<p><strong>Note:</strong> Providers are reminded to refer to the long descriptors of the CPT codes in their CPT book.</p>",2024-10-18 13:42:54.580000000
52996,31,1,"<p><strong>Note:</strong> Providers are reminded to refer to the long descriptors of the CPT codes in their CPT book.</p>",2025-09-26 13:52:26.733000000
52998,50,1,"<p><strong>Note: </strong>Providers are reminded to refer to the long descriptors of the CPT codes in their CPT book.</p>",2026-01-23 14:04:06.273000000
53001,45,1,"<p>Providers are reminded to refer to the long descriptors of the CPT codes in their CPT book.</p>",2026-01-23 14:04:57.280000000
53006,14,1,"",2019-12-12 15:59:00.543000000
53008,56,1,"<p>The following CPT/HCPCS codes are used for reporting intravitreal use of Bevacizumab (Avastin):</p>",2025-10-27 12:06:22.083000000
53018,13,1,"",2023-11-20 14:38:49.297000000
53019,14,1,"",2025-07-15 16:38:48.010000000
53020,2,1,"",2014-04-02 15:09:58.293000000
53024,22,1,"",2025-09-16 14:35:05.060000000
53026,65,1,"<p><strong>Nationally Covered CPT Procedure Codes</strong><br /><br />For services on or after February 21, 2006, the following CPT procedure codes are covered for bariatric surgery:</p>",2025-12-22 16:12:02.160000000
53026,65,2,"<p><strong>Noridian Local Coverage for Laparoscopic Sleeve Gastrectomy</strong></p>",2025-12-22 16:12:02.180000000
53043,14,1,"",2023-01-10 20:02:43.053000000
53046,21,1,"",2023-12-20 12:47:28.957000000
53047,17,1,"<p><span style=""line-height: 115%;"">The CPT<sup>&reg;</sup> codes are considered medically necessary when the indications of coverage in the Cataract Surgery L34413 Local Coverage Determination (LCD) are met for surgical cataract treatment. A reasonable and necessary standard must be met for the utilized anterior segment drainage device.</span></p>",2021-12-29 16:33:30.113000000
53052,48,1,"<p><strong><span style=""line-height: 115%;"">Note:</span></strong><span style=""line-height: 115%;""> CPT/HCPCS code G0153 must be used by Home Health agencies billing a 32x bill type. G0153 code is used to report 15-minute increments. All other CPT/HCPCS codes listed in this </span><span style=""line-height: 115%;"">article are for informational and descriptive use only.</span></p>",2025-08-19 18:16:46.157000000
53053,14,1,"",2022-05-12 13:18:15.087000000
53055,13,1,"",2019-04-04 21:20:46.710000000
53056,15,1,"",2024-11-27 17:20:58.890000000
53057,63,1,"",2025-08-14 15:03:38.583000000
53058,61,1,"<p>The following codes should be used by Physical Therapists</p>",2025-08-14 17:49:08.657000000
53058,61,2,"<p>Other CPT/HCPCS codes found in this policy are for informational and descriptive use only</p>",2025-08-14 17:49:08.673000000
53060,48,1,"",2025-08-14 12:47:17.163000000
53064,83,1,"",2025-08-22 18:47:45.150000000
53065,72,1,"",2025-08-25 12:42:15.870000000
53084,28,1,"",2025-09-23 11:39:33.467000000
53095,28,1,"",2024-09-05 14:24:28.900000000
53101,46,1,"",2024-08-29 13:10:23.803000000
53104,32,1,"",2022-01-18 13:18:14.163000000
53105,22,1,"",2019-10-16 21:55:24.107000000
53106,16,1,"",2017-12-14 21:28:42.490000000
53134,84,1,"<p>Note: Providers are reminded to refer to the long descriptors of the CPT codes in their CPT book.</p>",2023-11-22 12:43:03.527000000
53134,84,2,"<p><strong><span style=""line-height: 107%;"">The following CPT/HCPCS codes are Non-Covered.</span></strong></p>",2023-11-22 12:43:03.543000000
53296,22,1,"",2025-10-06 12:11:07.113000000
53304,16,1,"",2025-09-23 11:39:32.887000000
53322,16,1,"",2025-09-16 14:35:04.557000000
53352,13,1,"",2025-09-23 11:39:33.023000000
53356,14,1,"<p><b> The following procedures, when used for sterilization to prevent reproduction, will be auto-denied due to the absence of a Medicare benefit category.<br><br><br></p>",2025-09-23 11:39:34.163000000
53359,35,1,"<p>Covered CPT/HCPCS Codes:</p>",2025-09-23 11:39:33.400000000
53359,35,2,"<p><strong>Ancillary Coding</strong></p>",2025-09-23 11:39:33.400000000
53387,33,1,"",2025-09-17 19:24:15.333000000
53399,13,1,"<p>Examples for use of CPT<sup>&reg;</sup> modifier 59:</p>",2019-11-07 15:59:39.827000000
53423,16,1,"",2019-09-30 14:29:56.313000000
53435,11,1,"",2023-01-11 18:34:32.433000000
53441,10,1,"",2019-09-26 17:30:03.880000000
53444,14,1,"",2023-01-10 20:56:52.930000000
53446,6,1,"",2018-01-31 21:12:55.907000000
53472,18,1,"",2019-12-03 21:10:27.220000000
53480,14,1,"",2019-10-15 14:36:38.463000000
53482,13,1,"",2019-10-24 00:19:10.990000000
53484,16,1,"",2019-10-15 14:52:43.650000000
53488,11,1,"",2019-10-02 12:44:20.687000000
53495,11,1,"",2024-11-12 14:59:57.377000000
53497,15,1,"",2023-01-11 13:47:04.450000000
53497,15,2,"",2023-01-11 13:47:04.457000000
53531,22,1,"",2024-09-09 13:22:00.780000000
53531,22,2,"<p><p style=""line-height: 98%;""><span style=""line-height: 98%;"">The following should be reported for ABL1 Kinase Domain Mutation Analysis for the detection of acquired imatinib tyrosine kinase inhibitor resistance.</span></p></p>",2024-09-09 13:22:00.797000000
53538,15,1,"",2019-10-15 15:07:32.113000000
53558,29,1,"",2022-01-18 12:58:03.883000000
53605,21,1,"",2021-07-08 12:10:04.590000000
53702,19,1,"",2019-11-11 14:30:33.437000000
53708,16,1,"<p><strong>Following is a list of appropriate HCPCS Codes</strong><br /><br /><strong>Note</strong> L7510 should only be used to report the replacement of minor parts necessary for the functionality of the device that are not identified by another procedure code. Accessories or supplies should be reported under code L9900. Incorrect coding will result in denials.</p>",2019-10-30 14:47:41.223000000
53773,20,1,"",2024-01-12 15:56:27.940000000
53775,34,1,"",2025-01-07 15:40:50.350000000
53778,14,1,"",2019-09-25 21:21:37.700000000
53781,17,1,"",2024-01-11 16:38:49.450000000
53784,15,1,"",2020-08-12 19:50:20.290000000
53793,35,1,"<p>Transwoman procedures (male to female)<br /><br />*NOTE: For Part A services only, the provider should bill the appropriate procedure code(s) for inpatient services.<br /><br />The following CPT<sup>&reg;</sup> codes will be considered when applicable criteria have been met:</p>",2025-12-08 14:50:56.960000000
53793,35,2,"<p>Transman procedures (female to male)<br /><br />*NOTE: For Part A services only, the provider should bill the appropriate procedure code(s) for inpatient services.<br /><br />The following CPT<sup><span style=""font-size: small;"">&reg;</span></sup> codes will be considered when applicable criteria have been met:</p>",2025-12-08 14:50:57.220000000
53793,35,3,"<p>All unlisted procedure codes will suspend for medical review.<br /><br />The following CPT<sup><span style=""font-size: small;"">&reg;</span></sup> codes are considered cosmetic. When billed with any Covered ICD-10 Codes listed below, the service will not be covered (list may not be all-inclusive):</p>",2025-12-08 14:50:57.540000000
53883,26,1,"<p><strong>Note:</strong> Providers are reminded to refer to the long descriptors of the CPT codes in their CPT book.</p>",2024-03-01 14:33:37.040000000
53893,11,1,"",2025-09-23 11:39:34.010000000
53916,12,1,"",2025-09-23 11:39:33.840000000
53931,6,1,"",2024-11-07 19:04:06.690000000
53972,10,1,"",2025-09-23 11:39:33.540000000
53986,18,1,"<p>The CPT/HCPCS code(s) may be subject to Correct Coding Initiative (CCI) edits. This advice in this article does not take precedence over CCI edits. Please refer to the CCI for correct coding guidelines and specific applicable code combinations prior to billing the A/B MAC.</p>",2024-12-04 18:18:01.130000000
53988,20,1,"",2024-12-04 17:54:47.940000000
54018,33,1,"",2023-07-21 17:08:27.440000000
54021,26,1,"",2024-05-24 15:25:57.813000000
54061,23,1,"",2025-12-22 15:12:01.497000000
54095,68,1,"<p><br />Providers are reminded to refer to the long descriptors of the CPT codes in their CPT book.<br /><br /><strong>Electromyography of Anal or Urethral Sphincter</strong></p>
<p>&nbsp;</p>",2025-09-26 17:04:49.410000000
54095,68,2,"<p><strong><br />Needle Electromyography for Guidance in Conjunction with Chemodenervation<br /><br /></strong></p>",2025-09-26 17:04:49.480000000
54095,68,3,"<p><strong><br />Needle Electromyography and Nerve Conduction Studies<br /><br /></strong></p>",2025-09-26 17:04:49.490000000
54095,68,4,"<p><strong><br />Neuromuscular Junction Testing<br /><br /></strong></p>",2025-09-26 17:04:49.553000000
54095,68,5,"<p><strong><br />Needle Electromyography of the Larynx<br /><br /></strong></p>",2025-09-26 17:04:49.563000000
54095,68,6,"<p><strong><br />Single Fiber Electromyography<br /><br /></strong></p>",2025-09-26 17:04:49.573000000
54095,68,7,"<p>To bill the following non-covered services/tests, report CPT code 95999 appended with the GY modifier. When submitting claims, providers must provide a description of the service/test in the narrative/remarks field (Item 19) on the CMS-1500 claim form or the electronic equivalent: <strong>1)</strong> Non-invasive EDX testing using portable hand-held devices or automated point of care nerve conduction monitoring systems, which are incapable of real-time waveform display and analysis <strong>2) </strong>Psychophysical measurements (electrical, vibratory or thermal perceptions), even though they may involve delivery of a stimulus, are considered part of the physical examination and may not be reported as a separate service <strong>3) </strong>Physiologic recording of movement disorder symptoms, including bradykinesia, dyskinesia, and tremor using wearable devices with accelerometers or gyroscopes 4<strong>) </strong>Needle electromyography (NEMG) for Surface electromyography (SEMG) or Macroelectromyography (macro-EMG).<br /><br /><strong>The following CPT codes are Non-Covered:<br /><br /></strong></p>",2025-09-26 17:04:49.583000000
54111,50,1,"<p><strong>Note:</strong> Providers are reminded to refer to the long descriptors of the CPT codes in their CPT book.<br /><br />The following CPT/HCPCS codes associated with the services outlined in this policy will not have diagnosis code limitations applied at this time: 96125, 97110, 97530, 97533, 97535, 97129, and 97130.</p>",2025-09-26 17:14:51.340000000
54111,50,2,"<p><b>Non-Covered Services</b></p>",2025-09-26 17:14:51.393000000
54117,88,1,"<p><strong>Note</strong>: Providers are reminded to refer to the long descriptors of the CPT codes in their CPT book.</p>
<p>The following CPT/HCPCS codes outlined in this Billing and Coding Article will not have diagnosis code limitations applied at this time.</p>",2026-01-23 13:39:50.903000000
54188,33,1,"<p>For DOS prior to 01/01/2016 CPT code 81479 should be used.</p>",2024-08-28 20:13:45.927000000
54191,27,1,"",2023-11-08 18:44:29.910000000
54192,22,1,"",2024-05-29 21:01:58.687000000
54194,23,1,"",2023-11-14 18:27:56.877000000
54195,22,1,"",2023-11-15 12:11:05.550000000
54196,20,1,"",2023-11-15 12:12:26.460000000
54257,14,1,"",2023-11-08 16:53:27.473000000
54269,14,1,"",2023-11-14 18:04:43.203000000
54270,16,1,"",2023-11-14 18:06:31.810000000
54270,16,2,"<p><span style=""line-height: 115%;"">CPT<sup><span style=""font-size: small;"">&reg;</span></sup> codes that are also referenced in other articles</span>.</p>",2023-11-14 18:06:31.823000000
54283,15,1,"",2023-11-15 12:26:18.460000000
54295,27,1,"<p>N/A</p>",2023-11-10 16:31:04.913000000
54300,16,1,"",2023-11-07 15:46:52.050000000
54327,7,1,"",2023-11-07 15:11:38.727000000
54338,55,1,"<p><span style=""line-height: 115%;"">CPT<sup>&reg;</sup> codes that are also referenced in other articles</span>.</p>",2025-08-29 17:41:29.980000000
54386,37,1,"<p>N/A</p>",2024-08-29 12:08:32.173000000
54388,33,1,"<p>N/A</p>",2024-08-29 12:09:34.207000000
54418,27,1,"<p>N/A</p>",2023-11-22 15:31:11.040000000
54420,26,1,"<p>N/A</p>",2023-11-22 15:31:32.920000000
54422,20,1,"<p>N/A</p>",2024-05-24 11:58:39.190000000
54424,19,1,"<p>N/A</p>",2024-05-24 11:59:25.293000000
54445,26,1,"<p>N/A</p>",2023-11-22 16:55:44.937000000
54447,25,1,"<p>N/A</p>",2025-09-18 20:33:55.340000000
54472,30,1,"",2023-02-20 19:12:21.910000000
54480,15,1,"",2025-09-22 13:50:29.080000000
54482,15,1,"",2025-09-22 13:52:42.417000000
54484,12,1,"",2025-09-18 20:04:08.393000000
54486,12,1,"",2025-09-18 20:06:42.393000000
54498,23,1,"<p>N/A</p>",2023-11-22 15:32:47.610000000
54500,23,1,"<p>N/A</p>",2025-09-19 14:11:02.530000000
54516,45,1,"",2025-03-26 18:42:27.103000000
54543,21,1,"",2025-10-27 12:06:25.077000000
54548,35,1,"<p>HCPCS code J1300 should be used to report eculizumab, effective 01/01/2025 through 03/31/2025.</p>
<p>HCPCS code J1300 has been deleted and replaced by HCPCS codes J1299, effective 4/1/2025.</p>
<p>HCPCS code Q5139 should be used to report eculizumab-aeeb, effective 01/01/2025 through 03/31/2025.</p>
<p>HCPCS code Q5139 has been deleted and replaced by HCPCS codes Q5152, and should be used to report eculizumab-aeeb, effective 4/1/2025.</p>
<p>HCPCS code Q5151 has been added and should be used to report eculixumab-aagh, effective 4/1/2025.</p>
<p>Effective for dates of service on or after 05/01/2021, the administration of eculizumab should be billed using the intravenous infusion administration codes (Refer to article A58620 - Billing and Coding: Complex Drug Administration Coding).</p>
<p>For dates of service prior to 05/01/2021, administration of eculizumab may be billed using the chemotherapy administration code 96413 - Chemotherapy administration, intravenous infusion technique; up to 1 hour, single or initial substance/drug and 96415 - Chemotherapy administration, intravenous infusion technique; each additional hour (List separately in addition to code for primary procedure) when required due to infusion related adverse reactions in adults (up to 2 hours total) or when used in pediatric or aged Medicare beneficiaries (up to 4 hours total).</p>",2025-09-17 14:15:48.227000000
54555,18,1,"",2024-01-12 16:25:49.403000000
54559,12,1,"",2021-08-30 15:52:16.330000000
54563,54,1,"",2024-11-25 13:05:37.633000000
54602,24,1,"",2025-12-22 16:31:51.750000000
54610,3,1,"",2023-11-07 12:31:09.620000000
54611,5,1,"",2023-11-07 12:27:57.350000000
54612,4,1,"",2023-11-15 17:57:45.780000000
54613,3,1,"",2023-11-07 12:27:00.803000000
54635,31,1,"<p>N/A</p>",2025-09-16 14:35:04.697000000
54641,13,1,"",2023-11-17 12:43:00.320000000
54643,13,1,"",2023-11-17 12:44:31.580000000
54660,13,1,"",2023-11-17 12:42:27.837000000
54662,13,1,"",2023-11-17 12:44:01.763000000
54682,34,1,"<p><strong>Part B Providers</strong></p>",2024-01-25 15:14:26.190000000
54682,34,2,"<p><strong>Outpatient Hospital Providers</strong></p>",2024-01-25 15:14:26.203000000
54685,17,1,"",2023-11-08 15:22:47.897000000
54686,22,1,"",2024-09-14 23:02:26.823000000
54686,22,2,"<p><p style=""line-height: 98%;""><span style=""line-height: 98%;"">The following should be reported for ABL1 Kinase Domain Mutation Analysis for the detection of acquired imatinib tyrosine kinase inhibitor resistance.</span></p></p>",2024-09-14 23:02:26.840000000
