"article_id","article_version","bill_code_id","bill_code_version","last_updated","description"
"52437","17","085","7","2025-11-26 22:26:51.970000000","Critical Access Hospital"
"52438","22","085","7","2025-09-18 20:45:40.890000000","Critical Access Hospital"
"52438","22","013","7","2025-09-18 20:45:40.883000000","Hospital Outpatient"
"52438","22","011","7","2025-09-18 20:45:40.880000000","Hospital Inpatient (Including Medicare Part A)"
"52438","22","012","7","2025-09-18 20:45:40.880000000","Hospital Inpatient (Medicare Part B only)"
"52438","22","022","7","2025-09-18 20:45:40.887000000","Skilled Nursing - Inpatient (Medicare Part B only)"
"52438","22","023","7","2025-09-18 20:45:40.887000000","Skilled Nursing - Outpatient"
"52470","18","012","7","2025-07-29 21:07:59.370000000","Hospital Inpatient (Medicare Part B only)"
"52470","18","011","7","2025-07-29 21:07:59.347000000","Hospital Inpatient (Including Medicare Part A)"
"52470","18","013","7","2025-07-29 21:07:59.380000000","Hospital Outpatient"
"52470","18","085","7","2025-07-29 21:07:59.397000000","Critical Access Hospital"
"52470","18","079","7","2025-07-29 21:07:59.390000000","Clinic - Other"
"52725","36","999","7","2025-09-25 15:59:27.803000000","Not Applicable"
"52825","11","085","7","2024-01-16 14:52:38.103000000","Critical Access Hospital"
"52825","11","013","7","2024-01-16 14:52:38.100000000","Hospital Outpatient"
"52825","11","012","7","2024-01-16 14:52:38.100000000","Hospital Inpatient (Medicare Part B only)"
"52830","7","081","6","2019-11-08 18:57:38.717000000","Hospice (non-Hospital based)"
"52830","7","082","6","2019-11-08 18:57:38.720000000","Hospice (hospital based)"
"52837","20","085","7","2024-12-19 15:52:54.457000000","Critical Access Hospital"
"52837","20","013","7","2024-12-19 15:52:54.453000000","Hospital Outpatient"
"52840","2","013","5","2014-04-02 15:09:53.480000000","Hospital Outpatient"
"52840","2","011","5","2014-04-02 15:09:53.480000000","Hospital Inpatient (Including Medicare Part A)"
"52840","2","012","5","2014-04-02 15:09:53.480000000","Hospital Inpatient (Medicare Part B only)"
"52840","2","071","5","2014-04-02 15:09:53.480000000","Clinic - Rural Health"
"52840","2","022","5","2014-04-02 15:09:53.480000000","Skilled Nursing - Inpatient (Medicare Part B only)"
"52840","2","021","5","2014-04-02 15:09:53.480000000","Skilled Nursing - Inpatient (Including Medicare Part A)"
"52840","2","085","5","2014-04-02 15:09:53.480000000","Critical Access Hospital"
"52840","2","077","5","2014-04-02 15:09:53.480000000","Clinic - Federally Qualified Health Center (FQHC)"
"52840","2","073","5","2014-04-02 15:09:53.480000000","Clinic - Freestanding"
"52845","7","032","7","2023-10-06 15:24:41.633000000","Home Health Services under a plan of treatment"
"52986","242","999","7","2025-04-25 17:28:16.783000000","Not Applicable"
"52992","30","011","7","2025-04-11 13:01:08.803000000","Hospital Inpatient (Including Medicare Part A)"
"52992","30","012","7","2025-04-11 13:01:08.807000000","Hospital Inpatient (Medicare Part B only)"
"52992","30","013","7","2025-04-11 13:01:08.810000000","Hospital Outpatient"
"52992","30","083","7","2025-04-11 13:01:08.810000000","Ambulatory Surgery Center"
"52992","30","085","7","2025-04-11 13:01:08.813000000","Critical Access Hospital"
"52993","54","999","7","2024-10-18 13:42:54.573000000","Not Applicable"
"52996","31","085","7","2025-09-26 13:52:26.700000000","Critical Access Hospital"
"52996","31","083","7","2025-09-26 13:52:26.700000000","Ambulatory Surgery Center"
"52996","31","073","7","2025-09-26 13:52:26.693000000","Clinic - Freestanding"
"52996","31","077","7","2025-09-26 13:52:26.697000000","Clinic - Federally Qualified Health Center (FQHC)"
"52996","31","075","7","2025-09-26 13:52:26.693000000","Clinic - Comprehensive Outpatient Rehabilitation Facility (CORF)"
"52996","31","013","7","2025-09-26 13:52:26.677000000","Hospital Outpatient"
"52996","31","012","7","2025-09-26 13:52:26.673000000","Hospital Inpatient (Medicare Part B only)"
"52996","31","011","7","2025-09-26 13:52:26.670000000","Hospital Inpatient (Including Medicare Part A)"
"52996","31","028","7","2025-09-26 13:52:26.690000000","Skilled Nursing - Swing Beds"
"52996","31","071","7","2025-09-26 13:52:26.690000000","Clinic - Rural Health"
"52996","31","023","7","2025-09-26 13:52:26.687000000","Skilled Nursing - Outpatient"
"52996","31","022","7","2025-09-26 13:52:26.683000000","Skilled Nursing - Inpatient (Medicare Part B only)"
"52996","31","018","7","2025-09-26 13:52:26.680000000","Hospital - Swing Beds"
"52996","31","021","7","2025-09-26 13:52:26.680000000","Skilled Nursing - Inpatient (Including Medicare Part A)"
"52996","31","014","7","2025-09-26 13:52:26.677000000","Hospital - Laboratory Services Provided to Non-patients"
"52998","50","999","7","2026-01-23 14:04:06.270000000","Not Applicable"
"53001","45","018","7","2026-01-23 14:04:57.117000000","Hospital - Swing Beds"
"53001","45","022","7","2026-01-23 14:04:57.120000000","Skilled Nursing - Inpatient (Medicare Part B only)"
"53001","45","023","7","2026-01-23 14:04:57.120000000","Skilled Nursing - Outpatient"
"53001","45","012","7","2026-01-23 14:04:57.110000000","Hospital Inpatient (Medicare Part B only)"
"53001","45","013","7","2026-01-23 14:04:57.113000000","Hospital Outpatient"
"53001","45","075","7","2026-01-23 14:04:57.130000000","Clinic - Comprehensive Outpatient Rehabilitation Facility (CORF)"
"53001","45","074","7","2026-01-23 14:04:57.127000000","Clinic - Outpatient Rehabilitation Facility (ORF)"
"53001","45","077","7","2026-01-23 14:04:57.130000000","Clinic - Federally Qualified Health Center (FQHC)"
"53001","45","073","7","2026-01-23 14:04:57.123000000","Clinic - Freestanding"
"53001","45","071","7","2026-01-23 14:04:57.123000000","Clinic - Rural Health"
"53001","45","083","7","2026-01-23 14:04:57.133000000","Ambulatory Surgery Center"
"53001","45","085","7","2026-01-23 14:04:57.133000000","Critical Access Hospital"
"53019","14","085","7","2025-07-15 16:38:47.980000000","Critical Access Hospital"
"53019","14","013","7","2025-07-15 16:38:47.973000000","Hospital Outpatient"
"53019","14","012","7","2025-07-15 16:38:47.973000000","Hospital Inpatient (Medicare Part B only)"
"53019","14","021","7","2025-07-15 16:38:47.977000000","Skilled Nursing - Inpatient (Including Medicare Part A)"
"53026","65","011","7","2025-12-22 16:12:02.157000000","Hospital Inpatient (Including Medicare Part A)"
"53052","48","032","7","2025-08-19 18:16:46.133000000","Home Health Services under a plan of treatment"
"53056","15","082","7","2024-11-27 17:20:58.887000000","Hospice (hospital based)"
"53056","15","081","7","2024-11-27 17:20:58.883000000","Hospice (non-Hospital based)"
"53057","63","032","7","2025-08-14 15:03:38.563000000","Home Health Services under a plan of treatment"
"53060","48","0","7","2025-08-14 12:47:17.160000000","TBD"
"53064","83","012","7","2025-08-22 18:47:45.103000000","Hospital Inpatient (Medicare Part B only)"
"53064","83","013","7","2025-08-22 18:47:45.103000000","Hospital Outpatient"
"53064","83","034","7","2025-08-22 18:47:45.117000000","Home Health Services not under a plan of treatment"
"53064","83","071","7","2025-08-22 18:47:45.120000000","Clinic - Rural Health"
"53064","83","023","7","2025-08-22 18:47:45.113000000","Skilled Nursing - Outpatient"
"53064","83","022","7","2025-08-22 18:47:45.110000000","Skilled Nursing - Inpatient (Medicare Part B only)"
"53064","83","021","7","2025-08-22 18:47:45.110000000","Skilled Nursing - Inpatient (Including Medicare Part A)"
"53064","83","018","7","2025-08-22 18:47:45.107000000","Hospital - Swing Beds"
"53064","83","077","7","2025-08-22 18:47:45.123000000","Clinic - Federally Qualified Health Center (FQHC)"
"53064","83","074","7","2025-08-22 18:47:45.120000000","Clinic - Outpatient Rehabilitation Facility (ORF)"
"53064","83","075","7","2025-08-22 18:47:45.123000000","Clinic - Comprehensive Outpatient Rehabilitation Facility (CORF)"
"53064","83","085","7","2025-08-22 18:47:45.127000000","Critical Access Hospital"
"53065","72","085","7","2025-08-25 12:42:15.847000000","Critical Access Hospital"
"53065","72","074","7","2025-08-25 12:42:15.840000000","Clinic - Outpatient Rehabilitation Facility (ORF)"
"53065","72","075","7","2025-08-25 12:42:15.843000000","Clinic - Comprehensive Outpatient Rehabilitation Facility (CORF)"
"53065","72","077","7","2025-08-25 12:42:15.843000000","Clinic - Federally Qualified Health Center (FQHC)"
"53065","72","018","7","2025-08-25 12:42:15.810000000","Hospital - Swing Beds"
"53065","72","021","7","2025-08-25 12:42:15.820000000","Skilled Nursing - Inpatient (Including Medicare Part A)"
"53065","72","022","7","2025-08-25 12:42:15.830000000","Skilled Nursing - Inpatient (Medicare Part B only)"
"53065","72","023","7","2025-08-25 12:42:15.833000000","Skilled Nursing - Outpatient"
"53065","72","071","7","2025-08-25 12:42:15.837000000","Clinic - Rural Health"
"53065","72","034","7","2025-08-25 12:42:15.833000000","Home Health Services not under a plan of treatment"
"53065","72","013","7","2025-08-25 12:42:15.803000000","Hospital Outpatient"
"53065","72","012","7","2025-08-25 12:42:15.793000000","Hospital Inpatient (Medicare Part B only)"
"53106","16","013","6","2017-12-14 21:28:42.490000000","Hospital Outpatient"
"53127","187","999","7","2026-01-23 13:37:23.847000000","Not Applicable"
"53134","84","013","7","2023-11-22 12:43:03.513000000","Hospital Outpatient"
"53134","84","012","7","2023-11-22 12:43:03.513000000","Hospital Inpatient (Medicare Part B only)"
"53134","84","018","7","2023-11-22 12:43:03.517000000","Hospital - Swing Beds"
"53134","84","085","7","2023-11-22 12:43:03.520000000","Critical Access Hospital"
"53134","84","083","7","2023-11-22 12:43:03.520000000","Ambulatory Surgery Center"
"53359","35","085","7","2025-09-23 11:39:33.400000000","Critical Access Hospital"
"53359","35","073","7","2025-09-23 11:39:33.400000000","Clinic - Freestanding"
"53359","35","071","7","2025-09-23 11:39:33.400000000","Clinic - Rural Health"
"53359","35","011","7","2025-09-23 11:39:33.400000000","Hospital Inpatient (Including Medicare Part A)"
"53359","35","013","7","2025-09-23 11:39:33.400000000","Hospital Outpatient"
"53558","29","014","7","2022-01-18 12:58:03.883000000","Hospital - Laboratory Services Provided to Non-patients"
"53883","26","999","7","2024-03-01 14:33:37.020000000","Not Applicable"
"54061","23","999","7","2025-12-22 15:12:01.493000000","Not Applicable"
"54095","68","999","7","2025-09-26 17:04:49.407000000","Not Applicable"
"54111","50","018","7","2025-09-26 17:14:51.297000000","Hospital - Swing Beds"
"54111","50","021","7","2025-09-26 17:14:51.300000000","Skilled Nursing - Inpatient (Including Medicare Part A)"
"54111","50","023","7","2025-09-26 17:14:51.303000000","Skilled Nursing - Outpatient"
"54111","50","022","7","2025-09-26 17:14:51.300000000","Skilled Nursing - Inpatient (Medicare Part B only)"
"54111","50","013","7","2025-09-26 17:14:51.297000000","Hospital Outpatient"
"54111","50","012","7","2025-09-26 17:14:51.293000000","Hospital Inpatient (Medicare Part B only)"
"54111","50","075","7","2025-09-26 17:14:51.310000000","Clinic - Comprehensive Outpatient Rehabilitation Facility (CORF)"
"54111","50","074","7","2025-09-26 17:14:51.307000000","Clinic - Outpatient Rehabilitation Facility (ORF)"
"54111","50","085","7","2025-09-26 17:14:51.313000000","Critical Access Hospital"
"54111","50","083","7","2025-09-26 17:14:51.310000000","Ambulatory Surgery Center"
"54117","88","999","7","2026-01-23 13:39:50.897000000","Not Applicable"
"54196","20","013","7","2023-11-15 12:12:26.457000000","Hospital Outpatient"
"54295","27","014","7","2023-11-10 16:31:04.910000000","Hospital - Laboratory Services Provided to Non-patients"
"54484","12","013","7","2025-09-18 20:04:08.387000000","Hospital Outpatient"
"54486","12","013","7","2025-09-18 20:06:42.387000000","Hospital Outpatient"
"54602","24","013","7","2025-12-22 16:31:51.710000000","Hospital Outpatient"
"54602","24","012","7","2025-12-22 16:31:51.707000000","Hospital Inpatient (Medicare Part B only)"
"54602","24","011","7","2025-12-22 16:31:51.707000000","Hospital Inpatient (Including Medicare Part A)"
"54635","31","999","7","2025-09-16 14:35:04.697000000","Not Applicable"
"54682","34","0","7","2024-01-25 15:14:26.187000000","TBD"
"54830","9","023","7","2024-04-05 20:59:32.493000000","Skilled Nursing - Outpatient"
"54831","28","013","7","2023-08-24 15:36:23.490000000","Hospital Outpatient"
"54831","28","085","7","2023-08-24 15:36:23.493000000","Critical Access Hospital"
"54832","14","023","7","2024-03-28 13:08:54.840000000","Skilled Nursing - Outpatient"
"54909","24","013","7","2023-09-22 19:02:46.883000000","Hospital Outpatient"
"54909","24","085","7","2023-09-22 19:02:46.883000000","Critical Access Hospital"
"54926","25","085","7","2025-05-09 14:50:07.557000000","Critical Access Hospital"
"54926","25","013","7","2025-05-09 14:50:07.557000000","Hospital Outpatient"
"54929","40","013","7","2025-10-27 12:06:23.630000000","Hospital Outpatient"
"54929","40","085","7","2025-10-27 12:06:23.630000000","Critical Access Hospital"
"54954","28","999","7","2023-01-20 14:21:01.790000000","Not Applicable"
"54961","20","085","7","2025-03-18 17:18:10.800000000","Critical Access Hospital"
"54961","20","013","7","2025-03-18 17:18:10.797000000","Hospital Outpatient"
"54969","52","013","7","2025-10-14 13:00:49.647000000","Hospital Outpatient"
"54969","52","012","7","2025-10-14 13:00:49.647000000","Hospital Inpatient (Medicare Part B only)"
"54969","52","023","7","2025-10-14 13:00:49.647000000","Skilled Nursing - Outpatient"
"54969","52","022","7","2025-10-14 13:00:49.647000000","Skilled Nursing - Inpatient (Medicare Part B only)"
"54969","52","021","7","2025-10-14 13:00:49.647000000","Skilled Nursing - Inpatient (Including Medicare Part A)"
"54969","52","085","7","2025-10-14 13:00:49.647000000","Critical Access Hospital"
"54969","52","071","7","2025-10-14 13:00:49.647000000","Clinic - Rural Health"
"54982","28","085","7","2025-05-09 14:48:53.117000000","Critical Access Hospital"
"54982","28","013","7","2025-05-09 14:48:53.113000000","Hospital Outpatient"
"55028","45","999","7","2025-10-27 12:06:22.180000000","Not Applicable"
"55056","14","999","7","2025-10-27 12:06:23.683000000","Not Applicable"
"55058","7","0","7","2025-09-23 11:39:34.220000000","TBD"
"55200","37","014","7","2025-12-23 17:38:53.573000000","Hospital - Laboratory Services Provided to Non-patients"
"55229","46","999","7","2026-01-23 14:05:43.793000000","Not Applicable"
"55231","17","013","7","2026-01-22 14:47:58.707000000","Hospital Outpatient"
"55326","40","999","7","2025-10-27 12:06:24.960000000","Not Applicable"
"55354","35","072","7","2023-06-05 13:31:53.090000000","Clinic - Hospital Based or Independent Renal Dialysis Center"
"55530","35","999","7","2025-10-14 13:00:49.827000000","Not Applicable"
"55584","19","999","7","2025-09-16 14:35:04.433000000","Not Applicable"
"55597","23","014","7","2023-11-22 18:26:56.937000000","Hospital - Laboratory Services Provided to Non-patients"
"55602","23","014","7","2023-11-22 18:27:18.310000000","Hospital - Laboratory Services Provided to Non-patients"
"55672","25","072","7","2023-11-20 14:31:32.110000000","Clinic - Hospital Based or Independent Renal Dialysis Center"
"55675","25","072","7","2025-10-06 18:48:48.633000000","Clinic - Hospital Based or Independent Renal Dialysis Center"
"55703","25","072","7","2024-06-18 14:15:30.450000000","Clinic - Hospital Based or Independent Renal Dialysis Center"
"55723","44","072","7","2023-01-20 12:02:27.707000000","Clinic - Hospital Based or Independent Renal Dialysis Center"
"55818","26","073","7","2026-01-23 14:13:18.637000000","Clinic - Freestanding"
"55818","26","071","7","2026-01-23 14:13:18.627000000","Clinic - Rural Health"
"55818","26","074","7","2026-01-23 14:13:18.643000000","Clinic - Outpatient Rehabilitation Facility (ORF)"
"55818","26","075","7","2026-01-23 14:13:18.653000000","Clinic - Comprehensive Outpatient Rehabilitation Facility (CORF)"
"55818","26","077","7","2026-01-23 14:13:18.660000000","Clinic - Federally Qualified Health Center (FQHC)"
"55818","26","085","7","2026-01-23 14:13:18.677000000","Critical Access Hospital"
"55818","26","083","7","2026-01-23 14:13:18.670000000","Ambulatory Surgery Center"
"55818","26","018","7","2026-01-23 14:13:18.603000000","Hospital - Swing Beds"
"55818","26","022","7","2026-01-23 14:13:18.610000000","Skilled Nursing - Inpatient (Medicare Part B only)"
"55818","26","023","7","2026-01-23 14:13:18.620000000","Skilled Nursing - Outpatient"
"55818","26","013","7","2026-01-23 14:13:18.593000000","Hospital Outpatient"
"55818","26","012","7","2026-01-23 14:13:18.587000000","Hospital Inpatient (Medicare Part B only)"
"55913","9","012","7","2024-12-17 15:26:40.610000000","Hospital Inpatient (Medicare Part B only)"
"55913","9","013","7","2024-12-17 15:26:40.613000000","Hospital Outpatient"
"55937","42","999","7","2025-09-26 14:12:00.427000000","Not Applicable"
"56034","39","999","7","2025-09-25 15:58:50.257000000","Not Applicable"
"56159","22","072","7","2025-02-21 19:47:22.367000000","Clinic - Hospital Based or Independent Renal Dialysis Center"
"56287","18","999","7","2024-05-31 13:37:46.903000000","Not Applicable"
"56384","7","085","6","2019-10-08 18:32:34.923000000","Critical Access Hospital"
"56384","7","013","6","2019-10-08 18:32:34.913000000","Hospital Outpatient"
"56394","27","013","7","2025-01-23 15:03:38.970000000","Hospital Outpatient"
"56394","27","014","7","2025-01-23 15:03:38.970000000","Hospital - Laboratory Services Provided to Non-patients"
"56394","27","085","7","2025-01-23 15:03:38.977000000","Critical Access Hospital"
"56394","27","071","7","2025-01-23 15:03:38.973000000","Clinic - Rural Health"
"56414","41","999","7","2025-09-26 13:53:43.243000000","Not Applicable"
"56416","42","072","7","2025-09-26 13:54:31.330000000","Clinic - Hospital Based or Independent Renal Dialysis Center"
"56416","42","077","7","2025-09-26 13:54:31.333000000","Clinic - Federally Qualified Health Center (FQHC)"
"56416","42","075","7","2025-09-26 13:54:31.333000000","Clinic - Comprehensive Outpatient Rehabilitation Facility (CORF)"
"56416","42","085","7","2025-09-26 13:54:31.340000000","Critical Access Hospital"
"56416","42","083","7","2025-09-26 13:54:31.337000000","Ambulatory Surgery Center"
"56416","42","014","7","2025-09-26 13:54:31.320000000","Hospital - Laboratory Services Provided to Non-patients"
"56416","42","018","7","2025-09-26 13:54:31.320000000","Hospital - Swing Beds"
"56416","42","021","7","2025-09-26 13:54:31.323000000","Skilled Nursing - Inpatient (Including Medicare Part A)"
"56416","42","023","7","2025-09-26 13:54:31.330000000","Skilled Nursing - Outpatient"
"56416","42","022","7","2025-09-26 13:54:31.327000000","Skilled Nursing - Inpatient (Medicare Part B only)"
"56416","42","013","7","2025-09-26 13:54:31.317000000","Hospital Outpatient"
"56416","42","012","7","2025-09-26 13:54:31.313000000","Hospital Inpatient (Medicare Part B only)"
"56420","16","012","7","2023-01-20 12:04:01.570000000","Hospital Inpatient (Medicare Part B only)"
"56420","16","013","7","2023-01-20 12:04:01.570000000","Hospital Outpatient"
"56420","16","022","7","2023-01-20 12:04:01.577000000","Skilled Nursing - Inpatient (Medicare Part B only)"
"56420","16","023","7","2023-01-20 12:04:01.577000000","Skilled Nursing - Outpatient"
"56420","16","021","7","2023-01-20 12:04:01.573000000","Skilled Nursing - Inpatient (Including Medicare Part A)"
"56420","16","018","7","2023-01-20 12:04:01.573000000","Hospital - Swing Beds"
"56420","16","014","7","2023-01-20 12:04:01.570000000","Hospital - Laboratory Services Provided to Non-patients"
"56420","16","085","7","2023-01-20 12:04:01.583000000","Critical Access Hospital"
"56420","16","072","7","2023-01-20 12:04:01.580000000","Clinic - Hospital Based or Independent Renal Dialysis Center"
"56420","16","071","7","2023-01-20 12:04:01.580000000","Clinic - Rural Health"
"56422","50","011","7","2026-01-23 14:06:34.313000000","Hospital Inpatient (Including Medicare Part A)"
"56423","59","999","7","2026-01-23 14:07:21.167000000","Not Applicable"
"56425","16","012","7","2025-11-26 22:39:00.543000000","Hospital Inpatient (Medicare Part B only)"
"56425","16","013","7","2025-11-26 22:39:00.547000000","Hospital Outpatient"
"56425","16","014","7","2025-11-26 22:39:00.547000000","Hospital - Laboratory Services Provided to Non-patients"
"56425","16","021","7","2025-11-26 22:39:00.550000000","Skilled Nursing - Inpatient (Including Medicare Part A)"
"56425","16","023","7","2025-11-26 22:39:00.553000000","Skilled Nursing - Outpatient"
"56425","16","022","7","2025-11-26 22:39:00.550000000","Skilled Nursing - Inpatient (Medicare Part B only)"
"56425","16","071","7","2025-11-26 22:39:00.557000000","Clinic - Rural Health"
"56425","16","072","7","2025-11-26 22:39:00.560000000","Clinic - Hospital Based or Independent Renal Dialysis Center"
"56425","16","073","7","2025-11-26 22:39:00.560000000","Clinic - Freestanding"
"56425","16","077","7","2025-11-26 22:39:00.563000000","Clinic - Federally Qualified Health Center (FQHC)"
"56425","16","085","7","2025-11-26 22:39:00.567000000","Critical Access Hospital"
"56439","18","085","7","2025-10-31 20:58:08.480000000","Critical Access Hospital"
"56439","18","013","7","2025-10-31 20:58:08.480000000","Hospital Outpatient"
"56448","22","013","7","2025-11-26 22:37:20.203000000","Hospital Outpatient"
"56448","22","012","7","2025-11-26 22:37:20.200000000","Hospital Inpatient (Medicare Part B only)"
"56448","22","022","7","2025-11-26 22:37:20.207000000","Skilled Nursing - Inpatient (Medicare Part B only)"
"56448","22","023","7","2025-11-26 22:37:20.210000000","Skilled Nursing - Outpatient"
"56448","22","085","7","2025-11-26 22:37:20.217000000","Critical Access Hospital"
"56448","22","077","7","2025-11-26 22:37:20.213000000","Clinic - Federally Qualified Health Center (FQHC)"
"56448","22","073","7","2025-11-26 22:37:20.213000000","Clinic - Freestanding"
"56448","22","071","7","2025-11-26 22:37:20.210000000","Clinic - Rural Health"
"56451","26","0","7","2025-09-30 23:46:16.860000000","TBD"
"56452","21","013","7","2025-11-26 22:40:29.510000000","Hospital Outpatient"
"56452","21","085","7","2025-11-26 22:40:29.513000000","Critical Access Hospital"
"56453","12","085","7","2025-09-18 20:06:22.967000000","Critical Access Hospital"
"56453","12","083","7","2025-09-18 20:06:22.960000000","Ambulatory Surgery Center"
"56453","12","013","7","2025-09-18 20:06:22.957000000","Hospital Outpatient"
"56453","12","011","7","2025-09-18 20:06:22.953000000","Hospital Inpatient (Including Medicare Part A)"
"56453","12","012","7","2025-09-18 20:06:22.953000000","Hospital Inpatient (Medicare Part B only)"
"56454","11","013","7","2025-01-31 19:17:58.037000000","Hospital Outpatient"
"56454","11","085","7","2025-01-31 19:17:58.043000000","Critical Access Hospital"
"56454","11","071","7","2025-01-31 19:17:58.040000000","Clinic - Rural Health"
"56454","11","073","7","2025-01-31 19:17:58.040000000","Clinic - Freestanding"
"56454","11","077","7","2025-01-31 19:17:58.043000000","Clinic - Federally Qualified Health Center (FQHC)"
"56455","11","077","7","2025-01-31 19:27:41.977000000","Clinic - Federally Qualified Health Center (FQHC)"
"56455","11","073","7","2025-01-31 19:27:41.977000000","Clinic - Freestanding"
"56455","11","071","7","2025-01-31 19:27:41.973000000","Clinic - Rural Health"
"56455","11","085","7","2025-01-31 19:27:41.980000000","Critical Access Hospital"
"56455","11","013","7","2025-01-31 19:27:41.963000000","Hospital Outpatient"
"56455","11","012","7","2025-01-31 19:27:41.963000000","Hospital Inpatient (Medicare Part B only)"
"56455","11","011","7","2025-01-31 19:27:41.960000000","Hospital Inpatient (Including Medicare Part A)"
"56455","11","023","7","2025-01-31 19:27:41.970000000","Skilled Nursing - Outpatient"
"56455","11","022","7","2025-01-31 19:27:41.970000000","Skilled Nursing - Inpatient (Medicare Part B only)"
"56455","11","021","7","2025-01-31 19:27:41.967000000","Skilled Nursing - Inpatient (Including Medicare Part A)"
"56456","30","012","7","2025-12-26 14:19:45.093000000","Hospital Inpatient (Medicare Part B only)"
"56456","30","013","7","2025-12-26 14:19:45.097000000","Hospital Outpatient"
"56456","30","085","7","2025-12-26 14:19:45.097000000","Critical Access Hospital"
"56457","14","085","7","2025-09-18 20:18:24.190000000","Critical Access Hospital"
"56457","14","071","7","2025-09-18 20:18:24.183000000","Clinic - Rural Health"
"56457","14","073","7","2025-09-18 20:18:24.183000000","Clinic - Freestanding"
"56457","14","077","7","2025-09-18 20:18:24.187000000","Clinic - Federally Qualified Health Center (FQHC)"
"56457","14","013","7","2025-09-18 20:18:24.170000000","Hospital Outpatient"
"56457","14","012","7","2025-09-18 20:18:24.170000000","Hospital Inpatient (Medicare Part B only)"
"56457","14","021","7","2025-09-18 20:18:24.177000000","Skilled Nursing - Inpatient (Including Medicare Part A)"
"56457","14","018","7","2025-09-18 20:18:24.173000000","Hospital - Swing Beds"
"56457","14","022","7","2025-09-18 20:18:24.177000000","Skilled Nursing - Inpatient (Medicare Part B only)"
"56457","14","023","7","2025-09-18 20:18:24.180000000","Skilled Nursing - Outpatient"
"56459","28","023","7","2025-10-30 14:21:58.340000000","Skilled Nursing - Outpatient"
"56459","28","022","7","2025-10-30 14:21:58.337000000","Skilled Nursing - Inpatient (Medicare Part B only)"
"56459","28","021","7","2025-10-30 14:21:58.333000000","Skilled Nursing - Inpatient (Including Medicare Part A)"
"56459","28","012","7","2025-10-30 14:21:58.330000000","Hospital Inpatient (Medicare Part B only)"
"56459","28","011","7","2025-10-30 14:21:58.327000000","Hospital Inpatient (Including Medicare Part A)"
"56459","28","013","7","2025-10-30 14:21:58.330000000","Hospital Outpatient"
"56459","28","077","7","2025-10-30 14:21:58.347000000","Clinic - Federally Qualified Health Center (FQHC)"
"56459","28","073","7","2025-10-30 14:21:58.343000000","Clinic - Freestanding"
"56459","28","071","7","2025-10-30 14:21:58.340000000","Clinic - Rural Health"
"56459","28","085","7","2025-10-30 14:21:58.347000000","Critical Access Hospital"
