article_id,article_version,related_num,r_article_id,r_article_version,r_lcd_id,r_lcd_version,r_contractor_id,last_updated
52463,28,1,55426,14,,,140,2017-05-04 14:09:15.473000000
52463,28,2,,,33738,1,140,2014-04-03 20:55:18
52463,30,1,55426,14,,,140,2017-05-04 14:09:15.473000000
52463,30,2,,,33738,1,140,2014-04-03 20:55:18
52463,32,1,55426,14,,,140,2017-05-04 14:09:15.473000000
52463,32,2,,,33738,1,140,2014-04-03 20:55:18
52464,57,1,55426,14,,,140,2017-05-12 15:20:07.593000000
52464,57,2,,,33822,2,140,2014-04-04 20:24:52
52464,60,1,55426,14,,,140,2017-05-12 15:20:07.593000000
52464,60,2,,,33822,2,140,2014-04-04 20:24:52
52464,62,1,55426,14,,,140,2017-05-12 15:20:07.593000000
52464,62,2,,,33822,2,140,2014-04-04 20:24:52
52465,58,1,55426,12,,,140,2017-03-09 18:45:38.680000000
52465,58,2,,,33318,2,140,2014-04-04 20:25:34
52465,60,1,55426,12,,,140,2017-03-09 18:45:38.680000000
52465,60,2,,,33318,2,140,2014-04-04 20:25:34
52465,65,1,55426,12,,,140,2017-03-09 18:45:38.680000000
52465,65,2,,,33318,2,140,2014-04-04 20:25:34
52465,70,1,55426,12,,,140,2017-03-09 18:45:38.680000000
52465,70,2,,,33318,2,140,2014-04-04 20:25:34
52466,72,1,55426,12,,,140,2017-03-31 12:59:27.977000000
52466,72,2,,,33370,1,140,2014-04-03 20:56:11
52466,80,1,55426,12,,,140,2017-03-31 12:59:27.977000000
52466,80,2,,,33370,1,140,2014-04-03 20:56:11
52467,41,1,55426,14,,,140,2017-05-01 15:53:59.627000000
52467,41,2,,,33718,1,140,2014-04-03 20:56:53
52467,48,1,55426,14,,,140,2017-05-01 15:53:59.627000000
52467,48,2,,,33718,1,140,2014-04-03 20:56:53
52467,52,1,55426,14,,,140,2017-05-01 15:53:59.627000000
52467,52,2,,,33718,1,140,2014-04-03 20:56:53
52467,54,1,55426,14,,,140,2017-05-01 15:53:59.627000000
52467,54,2,,,33718,1,140,2014-04-03 20:56:53
52468,15,1,,,33692,1,140,2014-04-03 20:58:31
52468,15,2,55426,14,,,140,2017-05-01 15:53:28.143000000
52468,18,1,55426,14,,,140,2017-05-01 15:53:28.143000000
52468,18,2,,,33692,1,140,2014-04-03 20:58:31
52468,22,1,55426,14,,,140,2017-05-01 15:53:28.143000000
52468,22,2,,,33692,1,140,2014-04-03 20:58:31
52469,28,1,55426,14,,,140,2017-04-25 12:03:37.577000000
52469,28,2,,,33739,1,140,2014-04-03 20:59:03
52474,37,1,55426,14,,,139,2017-04-19 15:54:09.497000000
52474,37,2,,,33824,1,139,2014-04-04 12:13:09
52474,40,1,55426,14,,,139,2017-04-19 15:54:09.497000000
52474,40,2,,,33824,1,139,2014-04-04 12:13:09
52476,25,1,55426,12,,,139,2017-03-20 18:23:07.447000000
52476,25,2,,,33823,1,139,2014-04-04 11:40:31
52476,27,1,55426,12,,,139,2017-03-20 18:23:07.447000000
52476,27,2,,,33823,1,139,2014-04-04 11:40:31
52477,14,1,55426,14,,,139,2017-04-19 15:54:23.263000000
52477,14,2,,,33825,1,140,2014-04-04 12:13:44
52477,16,1,55426,14,,,139,2017-04-19 15:54:23.263000000
52477,16,2,,,33825,1,140,2014-04-04 12:13:44
52478,17,1,,,33317,1,139,2014-04-04 11:45:35
52478,17,2,55426,12,,,139,2017-03-20 18:23:21.860000000
52478,20,1,55426,12,,,139,2017-03-20 18:23:21.860000000
52478,20,2,,,33317,1,139,2014-04-04 11:45:35
52478,22,1,55426,12,,,139,2017-03-20 18:23:21.860000000
52478,22,2,,,33317,1,139,2014-04-04 11:45:35
52478,24,1,55426,12,,,139,2017-03-20 18:23:21.860000000
52478,24,2,,,33317,1,139,2014-04-04 11:45:35
52478,26,1,55426,12,,,139,2017-03-20 18:23:21.860000000
52478,26,2,,,33317,1,139,2014-04-04 11:45:35
52479,64,1,55426,12,,,139,2017-03-20 15:04:36.570000000
52479,64,2,,,33826,1,139,2014-04-04 12:14:21
52479,67,1,55426,12,,,139,2017-03-20 15:04:36.570000000
52479,67,2,,,33826,1,139,2014-04-04 12:14:21
52479,69,1,55426,12,,,139,2017-03-20 15:04:36.570000000
52479,69,2,,,33826,1,139,2014-04-04 12:14:21
52479,73,1,55426,12,,,139,2017-03-20 15:04:36.570000000
52479,73,2,,,33826,1,139,2014-04-04 12:14:21
52480,83,1,55426,12,,,139,2017-03-06 15:34:25.473000000
52480,83,2,,,33827,1,139,2014-04-04 12:15:01
52480,86,1,55426,12,,,139,2017-03-06 15:34:25.473000000
52480,86,2,,,33827,1,139,2014-04-04 12:15:01
52480,90,1,55426,12,,,139,2017-03-06 15:34:25.473000000
52480,90,2,,,33827,1,139,2014-04-04 12:15:01
52481,27,1,55426,14,,,139,2017-04-19 16:49:03.163000000
52481,27,2,,,33641,1,139,2014-04-04 12:15:40
52481,30,1,55426,14,,,139,2017-04-19 16:49:03.163000000
52481,30,2,,,33641,1,139,2014-04-04 12:15:40
52487,22,1,55426,14,,,139,2017-04-24 19:51:27.793000000
52487,22,2,,,33828,1,139,2014-04-04 12:25:23
52487,25,1,55426,14,,,139,2017-04-24 19:51:27.793000000
52487,25,2,,,33828,1,139,2014-04-04 12:25:23
52487,27,1,55426,14,,,139,2017-04-24 19:51:27.793000000
52487,27,2,,,33828,1,139,2014-04-04 12:25:23
52487,30,1,55426,14,,,139,2017-04-24 19:51:27.793000000
52487,30,2,,,33828,1,139,2014-04-04 12:25:23
52487,33,1,55426,14,,,139,2017-04-24 19:51:27.793000000
52487,33,2,,,33828,1,139,2014-04-04 12:25:23
52489,22,1,55426,14,,,139,2017-05-01 15:10:53.457000000
52489,22,2,,,33830,1,139,2014-04-04 12:27:38
52489,24,1,55426,14,,,139,2017-05-01 15:10:53.457000000
52489,24,2,,,33830,1,139,2014-04-04 12:27:38
52490,22,1,,,33642,1,139,2014-04-04 12:28:28
52490,22,2,55426,14,,,139,2017-05-01 15:11:07.100000000
52490,25,1,55426,14,,,139,2017-05-01 15:11:07.100000000
52490,25,2,,,33642,1,139,2014-04-04 12:28:28
52490,27,1,55426,14,,,139,2017-05-01 15:11:07.100000000
52490,27,2,,,33642,1,139,2014-04-04 12:28:28
52492,17,1,55426,14,,,139,2017-05-02 13:27:13.160000000
52492,17,2,,,33832,1,139,2014-04-04 12:30:38
52492,20,1,55426,14,,,139,2017-05-02 13:27:13.160000000
52492,20,2,,,33832,1,139,2014-04-04 12:30:38
52494,59,1,55426,12,,,388,2017-03-16 20:46:02.427000000
52494,59,2,,,33785,5,137,2015-08-18 14:51:02.170000000
52494,63,1,55426,12,,,388,2017-03-16 20:46:02.427000000
52494,63,2,,,33785,5,137,2015-08-18 14:51:02.170000000
52495,15,1,55426,14,,,388,2017-04-25 12:22:25.427000000
52495,15,2,,,33786,1,138,2014-04-04 14:30:40
52495,18,1,55426,14,,,388,2017-04-25 12:22:25.427000000
52495,18,2,,,33786,1,138,2014-04-04 14:30:40
52496,52,1,55426,12,,,388,2017-03-31 13:03:11.933000000
52496,52,2,,,33787,1,138,2014-04-04 14:37:51
52496,55,1,55426,12,,,388,2017-03-31 13:03:11.933000000
52496,55,2,,,33787,1,138,2014-04-04 14:37:51
52496,57,1,55426,12,,,388,2017-03-31 13:03:11.933000000
52496,57,2,,,33787,1,138,2014-04-04 14:37:51
52496,59,1,55426,12,,,388,2017-03-31 13:03:11.933000000
52496,59,2,,,33787,1,138,2014-04-04 14:37:51
52497,35,1,55426,14,,,388,2017-04-21 19:00:57.187000000
52497,35,2,,,33788,1,138,2014-04-04 14:38:25
52498,53,1,55426,12,,,388,2017-04-12 14:41:03.033000000
52498,53,2,,,33789,1,138,2014-04-04 14:38:57
52498,55,1,55426,12,,,388,2017-04-12 14:41:03.033000000
52498,55,2,,,33789,1,138,2014-04-04 14:38:57
52498,57,1,55426,12,,,388,2017-04-12 14:41:03.033000000
52498,57,2,,,33789,1,138,2014-04-04 14:38:57
52498,59,1,55426,12,,,388,2017-04-12 14:41:03.033000000
52498,59,2,,,33789,1,138,2014-04-04 14:38:57
52498,61,1,55426,12,,,388,2017-04-12 14:41:03.033000000
52498,61,2,,,33789,1,138,2014-04-04 14:38:57
52499,16,1,55426,14,,,388,2017-04-27 15:27:00.523000000
52499,16,2,,,33793,1,138,2014-04-04 14:39:52
52499,19,1,55426,14,,,388,2017-04-27 15:27:00.523000000
52499,19,2,,,33793,1,138,2014-04-04 14:39:52
52499,23,1,55426,14,,,388,2017-04-27 15:27:00.523000000
52499,23,2,,,33793,1,138,2014-04-04 14:39:52
52500,42,1,55426,12,,,388,2017-03-09 18:46:35.410000000
52500,42,2,,,33790,1,138,2014-04-04 14:40:50
52500,44,1,55426,12,,,388,2017-03-09 18:46:35.410000000
52500,44,2,,,33790,1,138,2014-04-04 14:40:50
52501,47,1,55426,14,,,388,2017-04-27 15:03:30.090000000
52501,47,2,,,33369,1,140,2014-04-04 14:41:14
52502,14,1,,,33784,1,138,2014-04-04 14:29:52
52502,14,2,55426,14,,,388,2017-04-19 13:12:42.927000000
52502,16,1,55426,14,,,388,2017-04-19 13:12:42.927000000
52502,16,2,,,33784,1,138,2014-04-04 14:29:52
52502,20,1,55426,14,,,388,2017-04-19 13:12:42.927000000
52502,20,2,,,33784,1,138,2014-04-04 14:29:52
52503,23,1,55426,14,,,388,2017-04-19 17:08:40.773000000
52503,23,2,,,33791,1,138,2014-04-04 14:41:46
52503,26,1,55426,14,,,388,2017-04-19 17:08:40.773000000
52503,26,2,,,33791,1,138,2014-04-04 14:41:46
52504,52,1,55426,12,,,388,2017-03-09 18:47:07.950000000
52504,52,2,,,33792,1,138,2014-04-04 14:43:47
52504,55,1,55426,12,,,388,2017-03-09 18:47:07.950000000
52504,55,2,,,33792,1,138,2014-04-04 14:43:47
52504,59,1,55426,12,,,388,2017-03-09 18:47:07.950000000
52504,59,2,,,33792,1,138,2014-04-04 14:43:47
52505,71,1,55426,12,,,388,2017-03-16 19:17:59.150000000
52505,71,2,,,33312,1,138,2014-04-04 14:44:08
52505,74,1,55426,12,,,388,2017-03-16 19:17:59.150000000
52505,74,2,,,33312,1,138,2014-04-04 14:44:08
52505,77,1,55426,12,,,388,2017-03-16 19:17:59.150000000
52505,77,2,,,33312,1,138,2014-04-04 14:44:08
52507,134,1,55426,12,,,389,2017-03-06 15:33:42.077000000
52507,134,2,,,33794,1,137,2014-04-04 15:36:46
52507,139,1,55426,12,,,389,2017-03-06 15:33:42.077000000
52507,139,2,,,33794,1,137,2014-04-04 15:36:46
52507,143,1,55426,12,,,389,2017-03-06 15:33:42.077000000
52507,143,2,,,33794,1,137,2014-04-04 15:36:46
52507,146,1,55426,12,,,389,2017-03-06 15:33:42.077000000
52507,146,2,,,33794,1,137,2014-04-04 15:36:46
52507,151,1,55426,12,,,389,2017-03-06 15:33:42.077000000
52507,151,2,,,33794,1,137,2014-04-04 15:36:46
52508,35,1,55426,12,,,389,2017-03-23 19:08:50.627000000
52508,35,2,,,33820,1,137,2014-04-04 16:31:58
52508,39,1,55426,12,,,389,2017-03-23 19:08:50.627000000
52508,39,2,,,33820,1,137,2014-04-04 16:31:58
52509,56,1,55426,12,,,389,2017-03-11 22:56:12.447000000
52509,56,2,,,33610,1,137,2014-04-04 15:39:14
52509,61,1,55426,12,,,389,2017-03-11 22:56:12.447000000
52509,61,2,,,33610,1,137,2014-04-04 15:39:14
52510,58,1,55426,14,,,389,2017-04-19 16:24:29.807000000
52510,58,2,,,33795,1,137,2014-04-04 15:41:27
52510,61,1,55426,14,,,389,2017-04-19 16:24:29.807000000
52510,61,2,,,33795,1,137,2014-04-04 15:41:27
52511,25,1,55426,12,,,389,2017-03-15 16:01:37.860000000
52511,25,2,,,33821,1,137,2014-04-04 16:33:51
52511,28,1,55426,12,,,389,2017-03-15 16:01:37.860000000
52511,28,2,,,33821,1,137,2014-04-04 16:33:51
52512,33,1,55426,14,,,389,2017-04-24 19:51:10.477000000
52512,33,2,,,33611,1,137,2014-04-04 15:45:08
52512,41,1,55426,14,,,389,2017-04-24 19:51:10.477000000
52512,41,2,,,33611,1,137,2014-04-04 15:45:08
52512,44,1,55426,14,,,389,2017-04-24 19:51:10.477000000
52512,44,2,,,33611,1,137,2014-04-04 15:45:08
52512,46,1,55426,14,,,389,2017-04-24 19:51:10.477000000
52512,46,2,,,33611,1,137,2014-04-04 15:45:08
52513,35,1,55426,14,,,389,2017-05-01 15:11:27.090000000
52513,35,2,,,33796,1,137,2014-04-04 15:49:22
52513,37,1,55426,14,,,389,2017-05-01 15:11:27.090000000
52513,37,2,,,33796,1,137,2014-04-04 15:49:22
52513,40,1,55426,14,,,389,2017-05-01 15:11:27.090000000
52513,40,2,,,33796,1,137,2014-04-04 15:49:22
52513,43,1,55426,14,,,389,2017-05-01 15:11:27.090000000
52513,43,2,,,33796,1,137,2014-04-04 15:49:22
52514,54,1,55426,12,,,389,2017-04-11 22:19:53.050000000
52514,54,2,,,33797,1,137,2014-04-04 16:17:38
52514,57,1,55426,12,,,389,2017-04-11 22:19:53.050000000
52514,57,2,,,33797,1,137,2014-04-04 16:17:38
52514,59,1,55426,12,,,389,2017-04-11 22:19:53.050000000
52514,59,2,,,33797,1,137,2014-04-04 16:17:38
52514,61,1,55426,12,,,389,2017-04-11 22:19:53.050000000
52514,61,2,,,33797,1,137,2014-04-04 16:17:38
52516,20,1,55426,14,,,389,2017-05-01 15:11:45.920000000
52516,20,2,,,33799,1,137,2014-04-04 16:37:44
52516,23,1,55426,14,,,389,2017-05-01 15:11:45.920000000
52516,23,2,,,33799,1,137,2014-04-04 16:37:44
52516,26,1,55426,14,,,389,2017-05-01 15:11:45.920000000
52516,26,2,,,33799,1,137,2014-04-04 16:37:44
52517,34,1,55426,12,,,389,2017-04-11 22:19:31.983000000
52517,34,2,,,33800,1,137,2014-04-04 16:40:09
52517,41,1,55426,12,,,389,2017-04-11 22:19:31.983000000
52517,41,2,,,33800,1,137,2014-04-04 16:40:09
52517,44,1,55426,12,,,389,2017-04-11 22:19:31.983000000
52517,44,2,,,33800,1,137,2014-04-04 16:40:09
52517,46,1,55426,12,,,389,2017-04-11 22:19:31.983000000
52517,46,2,,,33800,1,137,2014-04-04 16:40:09
52517,50,1,55426,12,,,389,2017-04-11 22:19:31.983000000
52517,50,2,,,33800,1,137,2014-04-04 16:40:09
52518,36,1,55426,12,,,389,2017-03-06 15:34:05.800000000
52518,36,2,,,33801,1,137,2014-04-04 16:42:09
52519,37,1,55426,14,,,389,2017-05-02 19:35:30.520000000
52519,37,2,,,33612,1,137,2014-04-04 16:26:01
52519,39,1,55426,14,,,389,2017-05-02 19:35:30.520000000
52519,39,2,,,33612,1,137,2014-04-04 16:26:01
52520,31,1,55426,14,,,389,2017-05-02 13:33:05.513000000
52520,31,2,,,33802,1,137,2014-04-04 16:27:59
52521,38,1,55426,12,,,139,2017-03-06 15:34:40.343000000
52521,38,2,,,33803,1,137,2014-04-04 16:29:38
52521,43,1,55426,12,,,139,2017-03-06 15:34:40.343000000
52521,43,2,,,33803,1,137,2014-04-04 16:29:38
52521,48,1,55426,12,,,139,2017-03-06 15:34:40.343000000
52521,48,2,,,33803,1,137,2014-04-04 16:29:38
52521,51,1,55426,12,,,139,2017-03-06 15:34:40.343000000
52521,51,2,,,33803,1,137,2014-04-04 16:29:38
52711,18,1,55426,14,,,140,2017-04-20 14:56:49.330000000
52711,18,2,,,34823,2,140,2014-04-04 19:46:39
52711,22,1,55426,14,,,140,2017-04-20 14:56:49.330000000
52711,22,2,,,34823,2,140,2014-04-04 19:46:39
52712,18,1,,,34824,2,140,2014-04-10 14:34:36
52712,18,2,55426,14,,,140,2017-04-20 14:33:55.050000000
52712,21,1,55426,14,,,140,2017-04-20 14:33:55.050000000
52712,21,2,,,34824,2,140,2014-04-10 14:34:36
52712,25,1,55426,14,,,140,2017-04-20 14:33:55.050000000
52712,25,2,,,34824,2,140,2014-04-10 14:34:36
52713,16,1,55426,14,,,389,2017-05-02 13:32:51.270000000
52713,16,2,,,34821,2,140,2014-04-04 19:48:13
52713,18,1,55426,14,,,389,2017-05-02 13:32:51.270000000
52713,18,2,,,34821,2,140,2014-04-04 19:48:13
52725,31,1,59155,3,,,345,2022-07-14 17:30:04.087000000
52725,31,2,,,35457,57,345,2022-07-14 17:26:44.753000000
52725,36,1,59155,3,,,345,2022-07-14 17:30:04.087000000
52725,36,2,,,35457,57,345,2022-07-14 17:26:44.753000000
52773,15,1,52775,7,,,345,2016-12-20 20:20:34.927000000
52773,17,1,52775,7,,,345,2016-12-20 20:20:34.927000000
52773,18,1,52775,7,,,345,2016-12-20 20:20:34.927000000
52775,13,1,52773,6,,,345,2016-12-20 20:19:35.070000000
52775,13,2,52776,6,,,345,2016-12-20 20:19:35.070000000
52775,15,1,52773,6,,,345,2016-12-20 20:19:35.070000000
52775,15,2,52776,6,,,345,2016-12-20 20:19:35.070000000
52775,17,1,52773,6,,,345,2016-12-20 20:19:35.070000000
52775,17,2,52776,6,,,345,2016-12-20 20:19:35.070000000
52775,18,1,52773,6,,,345,2016-12-20 20:19:35.070000000
52775,18,2,52776,6,,,345,2016-12-20 20:19:35.070000000
52776,7,1,52775,7,,,345,2016-12-20 20:21:31.383000000
52776,9,1,52775,7,,,345,2016-12-20 20:21:31.383000000
52776,11,1,52775,7,,,345,2016-12-20 20:21:31.383000000
52776,13,1,52775,7,,,345,2016-12-20 20:21:31.383000000
52776,14,1,52775,7,,,345,2016-12-20 20:21:31.383000000
52800,87,1,58544,1,,,143,2020-11-10 17:43:10.063000000
52800,89,1,58544,1,,,143,2020-11-10 17:43:10.063000000
52800,92,1,58544,1,,,143,2020-11-10 17:43:10.063000000
52800,94,1,58544,1,,,143,2020-11-10 17:43:10.063000000
52830,7,1,,,33393,2,308,2014-04-02 21:30:03
52848,34,1,,,33646,2,297,2014-04-02 20:40:19
52848,37,1,,,33646,2,297,2014-04-02 20:40:19
52848,38,1,,,33646,2,297,2014-04-02 20:40:19
52848,41,1,,,33646,2,297,2014-04-02 20:40:19
52849,35,1,,,33585,2,297,2014-04-02 22:07:53
52850,50,1,,,33557,2,297,2014-04-02 21:42:40
52850,52,1,,,33557,2,297,2014-04-02 21:42:40
52850,55,1,,,33557,2,297,2014-04-02 21:42:40
52855,30,1,,,33394,2,297,2014-04-02 20:44:44
52863,55,1,,,33622,34,297,2024-02-05 15:05:00.543000000
52863,58,1,,,33622,34,297,2024-02-05 15:05:00.543000000
52866,34,1,,,33580,2,297,2014-04-02 22:11:54
52868,45,1,,,33579,37,297,2024-10-03 12:06:40.220000000
52870,37,1,,,33575,2,297,2014-04-02 22:13:30
52959,7,1,52768,6,,,345,2017-08-21 20:05:10.660000000
52959,7,2,52775,7,,,345,2017-08-21 20:05:35.870000000
52959,8,1,52768,6,,,345,2017-08-21 20:05:10.660000000
52959,8,2,52775,7,,,345,2017-08-21 20:05:35.870000000
52959,11,1,52768,6,,,345,2017-08-21 20:05:10.660000000
52959,11,2,52775,7,,,345,2017-08-21 20:05:35.870000000
52959,13,1,52768,6,,,345,2017-08-21 20:05:10.660000000
52959,13,2,52775,7,,,345,2017-08-21 20:05:35.870000000
52959,14,1,52768,6,,,345,2017-08-21 20:05:10.660000000
52959,14,2,52775,7,,,345,2017-08-21 20:05:35.870000000
52959,15,1,52768,6,,,345,2017-08-21 20:05:10.660000000
52959,15,2,52775,7,,,345,2017-08-21 20:05:35.870000000
52986,228,1,58529,3,,,331,2020-10-23 14:07:48.313000000
52986,228,2,,,35396,206,331,2020-10-23 14:08:03.813000000
52986,228,3,58917,15,,,331,2021-11-29 19:50:36.043000000
52986,228,4,58801,13,,,331,2021-12-03 13:49:45.140000000
52986,237,1,58529,3,,,331,2020-10-23 14:07:48.313000000
52986,237,2,,,35396,206,331,2020-10-23 14:08:03.813000000
52986,237,3,58917,15,,,331,2021-11-29 19:50:36.043000000
52986,237,4,58801,13,,,331,2021-12-03 13:49:45.140000000
52986,242,1,58529,3,,,331,2020-10-23 14:07:48.313000000
52986,242,2,,,35396,206,331,2020-10-23 14:08:03.813000000
52986,242,3,58917,15,,,331,2021-11-29 19:50:36.043000000
52986,242,4,58801,13,,,331,2021-12-03 13:49:45.140000000
52992,27,1,,,35397,25,331,2016-11-14 14:04:50.817000000
52992,30,1,,,35397,25,331,2016-11-14 14:04:50.817000000
52993,54,1,59493,6,,,331,2023-11-15 15:44:11.613000000
52993,54,2,,,35451,52,331,2023-12-08 14:03:40.283000000
52996,26,1,,,35138,39,331,2019-04-12 10:50:55.837000000
52996,31,1,,,35138,39,331,2019-04-12 10:50:55.837000000
52998,44,1,,,34887,44,331,2021-12-10 13:52:05.007000000
52998,44,2,58961,8,,,331,2021-12-10 13:52:36.290000000
52998,47,1,,,34887,44,331,2021-12-10 13:52:05.007000000
52998,47,2,58961,8,,,331,2021-12-10 13:52:36.290000000
52998,50,1,,,34887,44,331,2021-12-10 13:52:05.007000000
52998,50,2,58961,8,,,331,2021-12-10 13:52:36.290000000
53001,42,1,,,35125,59,331,2019-04-12 13:13:16.387000000
53001,45,1,,,35125,59,331,2019-04-12 13:13:16.387000000
53024,21,1,52953,164,,,364,2020-09-03 21:20:28.050000000
53024,22,1,52953,164,,,364,2020-09-03 21:20:28.050000000
53046,21,1,55214,3,,,345,2016-12-22 15:53:49.893000000
53046,21,2,52768,9,,,345,2018-05-02 17:33:30.027000000
53047,17,1,,,34413,5,234,2015-03-24 13:35:03.403000000
53049,96,3,53127,47,,,331,2017-08-31 18:07:34.740000000
53049,96,5,59073,8,,,331,2022-05-27 12:07:52.220000000
53049,96,6,,,36240,54,331,2023-10-17 18:48:51.433000000
53049,96,7,58872,4,,,331,2023-10-23 11:00:21.713000000
53049,98,1,53127,47,,,331,2017-08-31 18:07:34.740000000
53049,98,2,58872,4,,,331,2023-10-23 11:00:21.713000000
53049,98,3,59073,8,,,331,2022-05-27 12:07:52.220000000
53049,98,4,,,36240,54,331,2023-10-17 18:48:51.433000000
53049,99,1,53127,47,,,331,2017-08-31 18:07:34.740000000
