lcd_id,lcd_version,sticky_note_version,"sticky_note",sticky_note_dt,sticky_note_posting_dt
39949,3,1,"Proposed LCD was updated to correct the reason for proposed LCD field. The field was changed from This Request was MAC Initiated to include the Requestor Information",2025-05-02 21:37:08.733000000,2025-05-08 00:00:00
39983,8,1,"The Requestor Information has been updated to include a Reconsideration Request letter.",2024-10-03 14:19:17,2024-10-10 00:00:00
39996,7,1,"The Requestor Information has been updated to include a Reconsideration Request letter.",2024-10-03 14:21:50,2024-10-10 00:00:00
39996,7,2,"The JN website was recently updated. As a result, the link in the “Open Meetings” section of the LCD is not working. Please use the following link for information on the upcoming Open Meeting: https://medicare.fcso.com/medical-affairs/proposed-local-coverage-determinations-lcds-open-meetings",2025-11-05 16:00:17,2025-11-13 00:00:00
40025,8,1,"The JN website was recently updated. As a result, the link in the Open Meetings and the Contractor Advisory Committee (CAC) Meetings sections of this Proposed LCD are not working. <br /><br />The updated link for the Open Meetings section is https://medicare.fcso.com/medical-affairs/proposed-local-coverage-determinations-lcds-open-meetings and the updated link for the Contractor Advisory Committee (CAC) Meetings section is https://medicare.fcso.com/medical-affairs/proposed-local-coverage-determination-contractor-advisory-committee-cac-meetings<br /><br /><br /><br />",2025-11-07 17:05:16,2025-11-13 00:00:00
40177,4,1,"Only the removal of ""voided volume greater than 125cc"" from the Indications of Coverage is open for official comment.",2025-05-05 10:57:58,2025-05-15 00:00:00
40180,6,1,"Only the uses of Rituximab for ANCA- Associated Vasculitis (AAV), IgG4-related pancreatitis, and Susac Syndrome are open for official comment. ",2025-05-05 11:39:18,2025-05-15 00:00:00
40181,8,1,"Only the off-label use of Intravenous Immune Globulin (IVIG) for Susac Syndrome is open for official comment.",2025-05-07 22:54:39,2025-05-15 00:00:00
40268,6,1,"Only the removal of references to carpal and tarsal tunnel injections is open for official comment.",2025-09-18 16:10:42,2025-09-25 00:00:00
40269,12,1,"The number 11 source listed in the Bibliography of this proposed Nebulizers LCD (DL33370) contains a webpage link that is no longer functional. The linked webpage has been moved to a new location on the Centers for Disease Control and Prevention (CDC) website.<br /> <br />The link that is no longer functional redirects to the new location on the CDC website after 10 seconds.<br /> <br />Here is the direct link to the webpage at the new location on the CDC website: https://www.cdc.gov/disability-and-health/about/index.html [cdc.gov]<br />",2025-12-16 14:53:51,2025-12-25 00:00:00
40269,12,2,"Within the Open Meetings table, the registration link (located in the Meeting Information column) no longer directs viewers to an active registration for the meeting. The meeting registration previously closed, and the meeting date has passed.",2026-01-16 19:58:45,2026-01-22 00:00:00
40270,19,1,"Within the Open Meetings table, the registration link (located in the Meeting Information column) no longer directs viewers to an active registration for the meeting. The meeting registration previously closed, and the meeting date has passed.",2026-01-20 20:03:15,2026-01-29 00:00:00
40279,6,1,"Only the Indications of Coverage for Unilateral Pallidotomy are open for official comment.",2025-09-18 19:00:16,2025-09-25 00:00:00
40288,7,1,"The JN website was recently updated. As a result, the link in the “Open Meetings” section of the LCD is not working. Please use the following link for information on the upcoming Open Meeting: https://medicare.fcso.com/medical-affairs/proposed-local-coverage-determinations-lcds-open-meetings",2025-09-19 15:27:27,2025-09-25 00:00:00
